dataset,axis3_race_condition_median,axis3_race_condition_mean,axis3_mae_mfe_ratio_winners_median,axis3_pct_peak_and_collapse,axis3_pct_wrong_way,axis3_n_trades_with_race_signal
kh24,-14.0,-6.585895117540687,0.17701341211795807,0.4141048824593128,0.47739602169981915,553
arc1,2.0,-2.061305366409038,0.30929845571517944,0.3789109539552909,0.4960698881177063,45658
arc2,-3.0,-5.415226646631606,0.1376095414161682,0.5692461808164287,0.4883546205860255,3993
