dataset,mass_n_trades,mass_band_0_to_0_5R,mass_band_0_5_to_1R,mass_band_1_to_2R,mass_band_2_to_5R,mass_band_above_5R
kh24,553,0.09403254972875226,0.08318264014466546,0.14828209764918626,0.3616636528028933,0.3128390596745027
arc1,45673,0.07371970310686839,0.07928097563111686,0.16298469555317147,0.39430297987870294,0.28971164583014036
arc2,3993,0.07412972702228901,0.07513148009015777,0.15051339844728273,0.39744552967693464,0.30277986476333585
