sl_atr,exit_policy,exposure,verdict,worst_fold_roi_pct,worst_fold_dd_pct,worst_fold_ratio,mean_fold_roi_pct,mean_fold_dd_pct,mean_fold_ratio,sign_pos_folds,sign_total_folds,n_trades_total,any_daily_breach,max_dd_across_folds
1.5,sl_plus_tp_2r,max_concurrent_per_pair_1,PASS-DEPLOYABLE,0.596263443249966,0.0,999.0,0.7856387222581592,0.0,999.0,11,11,638,0,0.0
1.5,sl_plus_tp_2r,unlimited,PASS-DEPLOYABLE,0.7987096025387048,0.005000000000000002,302.0429099712783,1.4594381520042254,0.0004545454545454547,935.6402645428435,11,11,980,0,0.005000000000000002
1.5,sl_plus_tp_3r,unlimited,PASS-DEPLOYABLE,1.3596822799012647,0.009974999999999856,271.93645598025563,2.744427405483465,0.0049977272727272926,569.7648838326656,11,11,980,0,0.009974999999999856
1.5,sl_plus_tp_3r,max_concurrent_per_pair_1,PASS-DEPLOYABLE,0.9736085785788691,0.005000000000000149,194.7217157157716,1.3335933921250973,0.003636363636363685,458.57255182450643,11,11,638,0,0.005000000000000149
2.0,sl_plus_tp_3r,unlimited,PASS-DEPLOYABLE,1.1459959567844038,0.011659027887732413,173.82179187673185,2.3741339414560794,0.007414457080702996,351.3006229540449,11,11,980,0,0.011659027887732413
2.0,sl_plus_tp_2r,unlimited,PASS-DEPLOYABLE,0.7719960935901105,0.0050000000000001285,154.39921871802494,1.4203729992600815,0.004090909090909081,417.3381879447806,11,11,980,0,0.0050000000000001285
2.0,sl_plus_tp_2r,max_concurrent_per_pair_1,PASS-DEPLOYABLE,0.572556560429422,0.005000000000000062,114.51131208588747,0.767448386145972,0.002782380827724973,575.1510234530548,11,11,638,0,0.005000000000000062
2.0,sl_plus_tp_3r,max_concurrent_per_pair_1,PASS-DEPLOYABLE,0.7948840256928509,0.010411389204276613,102.25275664673403,1.1809745109854946,0.006848762654934278,192.2456958590433,11,11,638,0,0.010411389204276613
2.5,sl_plus_tp_2r,unlimited,PASS-DEPLOYABLE,0.7491899863464715,0.009975000000000145,99.2326415726686,1.3443434568762795,0.0049954545454546145,342.4981103156038,11,11,980,0,0.009975000000000145
2.5,sl_plus_tp_3r,unlimited,PASS-DEPLOYABLE,0.8633379113847168,0.02278996280199991,77.32981516327187,1.8728753816516486,0.012334540154696061,176.95882273352396,11,11,980,0,0.02278996280199991
2.5,sl_plus_tp_2r,max_concurrent_per_pair_1,PASS-DEPLOYABLE,0.5523172982247404,0.009974999999999946,60.6571052610019,0.7382119637992985,0.003634090909090937,385.50666298921647,11,11,638,0,0.009974999999999946
2.5,sl_plus_tp_3r,max_concurrent_per_pair_1,PASS-DEPLOYABLE,0.6397787690802856,0.014925125000000103,55.09406159237613,0.9654265607550179,0.01017860222951422,107.04319745672639,11,11,638,0,0.014925125000000103
2.0,sl_only,unlimited,PASS-DEPLOYABLE,0.5972189855891172,0.05168469460364718,11.69471674023023,4.321629600657531,0.03672504726326948,153.71600563897596,11,11,980,0,0.05168469460364718
2.5,sl_only,unlimited,PASS-DEPLOYABLE,0.443517397757643,0.04820583963654445,10.32558434765425,2.51401222349176,0.0336195395038011,94.26566152514955,11,11,980,0,0.04820583963654445
2.0,sl_only,max_concurrent_per_pair_1,PASS-DEPLOYABLE,0.3985058649149602,0.04626156473236167,9.034279203795728,1.5453025748329507,0.02726088409307671,78.52279317025724,11,11,638,0,0.04626156473236167
2.5,sl_only,max_concurrent_per_pair_1,PASS-DEPLOYABLE,0.3000970654532358,0.043903820593859465,8.244925843455325,1.0585895808650794,0.024102971929318484,58.71765225908546,11,11,638,0,0.043903820593859465
1.5,sl_only,unlimited,PASS-DEPLOYABLE,0.5082304690004376,0.07735736129546311,7.150803678516902,4.776200107711856,0.05184035427244422,126.80913987284175,11,11,980,0,0.07735736129546311
1.5,sl_only,max_concurrent_per_pair_1,PASS-DEPLOYABLE,0.3530583016265496,0.07571782968600833,4.662815919191489,1.4878603708457254,0.04229472172177337,54.61916619659806,11,11,638,0,0.07571782968600833
