fold_id,pair,val_auc,n_val,n_pos,clean_rate
1,AUD_CAD,0.2626700373179247,188,71,0.3776595744680851
1,AUD_CHF,0.3139592647789369,188,66,0.35106382978723405
1,AUD_JPY,0.6747183834630124,188,79,0.42021276595744683
1,AUD_NZD,0.4355072463768116,188,50,0.26595744680851063
1,AUD_USD,0.5938375350140056,188,69,0.3670212765957447
1,CAD_CHF,0.43727329580988117,188,65,0.34574468085106386
1,CAD_JPY,0.6756465517241379,188,72,0.3829787234042553
1,CHF_JPY,0.37169117647058825,188,68,0.3617021276595745
1,EUR_AUD,0.5848535102266446,188,54,0.2872340425531915
1,EUR_CAD,0.4674107142857143,188,48,0.2553191489361702
1,EUR_CHF,0.5937226277372263,187,50,0.26737967914438504
1,EUR_GBP,0.6935483870967741,187,32,0.1711229946524064
1,EUR_JPY,0.560765879385462,187,98,0.5240641711229946
1,EUR_NZD,0.6201117318435754,187,8,0.0427807486631016
1,EUR_USD,0.659903381642512,187,72,0.3850267379679144
1,GBP_AUD,0.4788786482334869,187,63,0.33689839572192515
1,GBP_CAD,0.704131976564909,187,46,0.24598930481283424
1,GBP_CHF,0.5843457943925233,187,80,0.42780748663101603
1,GBP_JPY,0.5879563774300617,187,111,0.5935828877005348
1,GBP_NZD,0.5963726884779517,187,76,0.40641711229946526
1,GBP_USD,0.46737637362637363,187,96,0.5133689839572193
1,NZD_CAD,0.4917087238644557,187,73,0.39037433155080214
1,NZD_CHF,0.23272727272727273,188,88,0.46808510638297873
1,NZD_JPY,0.7692012288786482,188,126,0.6702127659574468
1,NZD_USD,0.47034047034047033,188,111,0.5904255319148937
1,USD_CAD,0.440078201368524,188,33,0.17553191489361702
1,USD_CHF,0.2977855477855477,188,78,0.4148936170212766
1,USD_JPY,0.5112865424941408,188,67,0.35638297872340424
2,AUD_CAD,0.40047961630695444,187,48,0.25668449197860965
2,AUD_CHF,0.37589531680440774,187,55,0.29411764705882354
2,AUD_JPY,0.31399747793190413,187,65,0.34759358288770054
2,AUD_NZD,0.6879933030375509,187,74,0.39572192513368987
2,AUD_USD,0.19332582371163054,187,53,0.28342245989304815
2,CAD_CHF,0.5182091546942866,187,41,0.2192513368983957
2,CAD_JPY,0.5777877697841727,187,48,0.25668449197860965
2,CHF_JPY,0.44924988279418654,187,79,0.42245989304812837
2,EUR_AUD,0.5602787456445992,187,82,0.4385026737967914
2,EUR_CAD,0.41261990407673865,187,48,0.25668449197860965
2,EUR_CHF,0.3756696428571429,188,28,0.14893617021276595
2,EUR_GBP,0.28310973512211907,188,17,0.09042553191489362
2,EUR_JPY,0.5804843304843306,188,26,0.13829787234042554
2,EUR_NZD,0.6726280339101149,188,79,0.42021276595744683
2,EUR_USD,0.4567587209302326,188,16,0.0851063829787234
2,GBP_AUD,0.5450599657338664,188,85,0.4521276595744681
2,GBP_CAD,0.4720528455284553,188,24,0.1276595744680851
2,GBP_CHF,0.5694444444444444,188,44,0.23404255319148937
2,GBP_JPY,0.400452023833984,188,31,0.16489361702127658
2,GBP_NZD,0.3771420674405749,188,54,0.2872340425531915
2,GBP_USD,0.6377923976608187,188,36,0.19148936170212766
2,NZD_CAD,0.39108796296296294,188,80,0.425531914893617
2,NZD_CHF,0.1821266968325792,188,52,0.2765957446808511
2,NZD_JPY,0.4786226318484383,188,62,0.32978723404255317
2,NZD_USD,0.35926222935044105,188,43,0.22872340425531915
2,USD_CAD,0.5745812584880036,188,94,0.5
2,USD_CHF,0.40118164967562553,187,83,0.44385026737967914
