h,capture_ratio,mean_realised_R,mean_peak_R
1,0.006597578059881926,0.0027433494105935097,0.41581159830093384
3,0.0008630391675978899,0.00047831074334681034,0.554216742515564
6,-0.012766383588314056,-0.009041111916303635,0.7081968188285828
12,-0.018405530601739883,-0.01651858538389206,0.8974794149398804
24,-0.01433874573558569,-0.01819613017141819,1.269018292427063
48,-0.010609930381178856,-0.01884693279862404,1.776348352432251
120,-0.010645467787981033,-0.02977575734257698,2.7970361709594727
240,-0.006413151044398546,-0.025249114260077477,3.9370839595794678
