t,corr_close_t_vs_final,decile_means,n_trades
1,0.10702884329512047,"[-0.7410025596618652, -0.29156357049942017, -0.16087231040000916, 0.10058342665433884, 0.07689255475997925, 0.27473366260528564, 0.46738654375076294, 0.5661022067070007, 0.5619452595710754, 1.1462560892105103]",45391
3,0.14034153760353985,"[-1.0397716760635376, -0.4722580015659332, -0.182778000831604, 0.09108317643404007, 0.15435637533664703, 0.24550063908100128, 0.46358567476272583, 0.5444503426551819, 0.7091760039329529, 1.4871827363967896]",45391
5,0.1687710826579968,"[-1.275112271308899, -0.46922409534454346, -0.32169947028160095, -0.07552731782197952, 0.1302158534526825, 0.38683953881263733, 0.3319266438484192, 0.7098849415779114, 0.8916617035865784, 1.6916135549545288]",45391
10,0.21047654582045414,"[-1.6734455823898315, -0.7429797053337097, -0.41992032527923584, -0.10090465098619461, 0.11599712073802948, 0.2361004650592804, 0.523076057434082, 0.801708459854126, 1.2861111164093018, 1.9749239683151245]",45391
20,0.2749343335254171,"[-2.1875579357147217, -1.0928411483764648, -0.6402161717414856, -0.29647067189216614, 0.01152443140745163, 0.29027771949768066, 0.804393470287323, 1.024717092514038, 1.5278974771499634, 2.5590555667877197]",45391
