metric,value
unit_id,c2
n,429
sl_atr_mult,2
fwd_mfe_p5,0.002862169864
fwd_mfe_p10,0.02024732163
fwd_mfe_p25,0.07806925049
fwd_mfe_p50,0.1707754489
fwd_mfe_p75,0.2945973733
fwd_mfe_p90,0.4333158031
fwd_mfe_p95,0.6683032738
fwd_mfe_p99,1.224981891
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,-1
final_r_p90,-1
final_r_p95,-1
final_r_p99,-1
fwd_mfe_mean,0.2277010829
final_r_mean,-0.9976179722
hartigan_dip_stat,0.0145368641
hartigan_dip_pvalue,0.8298360969
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.02331002331
mass_final_r_le_0R_count,428
mass_final_r_le_0R_frac,0.9976689977
mass_final_r_0R_to_0.5R_count,1
mass_final_r_0R_to_0.5R_frac,0.002331002331
mass_final_r_0.5R_to_1R_count,0
mass_final_r_0.5R_to_1R_frac,0
mass_final_r_1R_to_2R_count,0
mass_final_r_1R_to_2R_frac,0
mass_final_r_2R_to_5R_count,0
mass_final_r_2R_to_5R_frac,0
mass_final_r_gt_5R_count,0
mass_final_r_gt_5R_frac,0
