cluster_id,archetype,sl_multiplier,exit_policy,exposure,max_per_currency,architecture,search_worst_roi,search_worst_dd,search_worst_ratio,search_mean_roi,search_mean_dd,search_mean_ratio,search_sign_consistency,search_neg_folds,search_n_total,a3_n_bars,threshold_pair
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A1,0.2649053592818633,0.09224133035508304,5.418504508840416,0.498650417296612,0.038484269580982715,16.175388342813264,11,0,2162,,
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A6,0.023507450733408985,0.040338905957856865,2.921018767057929,0.0886013720748242,0.016799347144037288,6.012095573599658,11,0,681,,"(0.5, 0.7)"
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A6,0.04967443826317508,0.08987714856943492,2.3911911668803714,0.2906982234040101,0.029787341408468136,12.370093506547049,11,0,1661,,"(0.3, 0.5)"
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A1,0.13550014147973144,0.10092395667929091,2.0906394488092768,0.3824506347472353,0.04449911175758939,11.193167268347265,11,0,2162,,
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A1,0.13355658728351627,0.08572326487535543,2.0386223518519975,0.22666005626950045,0.031396629382170235,10.551075081218631,11,0,1080,,
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A6,0.03500509236335381,0.0764998651050725,1.5145386381917565,0.14931563616883944,0.02627657243312581,8.05392050482657,11,0,933,,"(0.3, 0.5)"
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A3,0.02932700535639765,0.05032820975242605,1.396621884602007,0.23578013155862215,0.02501878803744792,10.359124322632939,10,0,984,5.0,
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,0.02932700535639765,0.050328209752426085,1.396621884602007,0.1419938384396936,0.0241276342867149,7.565494774940989,10,0,644,5.0,
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A3,0.027073687499566734,0.05575851588178072,1.3638794162359322,0.18704757673488553,0.02832273578300129,7.664226941151552,10,0,984,5.0,
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A3,0.027073687499566734,0.051968966322982764,1.3638794162359322,0.114303947161573,0.027284298999670904,5.232911650058602,10,0,644,5.0,
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A6,0.01434745854993924,0.06313353663341546,1.1446247833006598,0.13908017533244968,0.020293265417591962,8.010822197906787,11,0,1028,,"(0.5, 0.7)"
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A1,0.04949743823615593,0.10160738858736071,0.8909244644162139,0.1751551563136607,0.03711041876609175,6.742680765033305,11,0,1080,,
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A6,0.01028540539076861,0.05854473146127194,0.7494610383489262,0.11486293887284775,0.021112941443486744,6.588337459632095,11,0,837,,"(0.4, 0.6)"
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A6,0.001396138028918692,0.05844737565709212,0.09362042961987752,0.06967868785128309,0.019804214711800258,4.4449203616846455,11,0,681,,"(0.5, 0.7)"
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A6,0.0033282100668243775,0.09826045156768265,0.093426337285553,0.2246726003060158,0.03591116626882961,9.04244784288482,11,0,1661,,"(0.3, 0.5)"
1,v_shape_recovery,3.5,sl_partial_close_1r_runner_trail,unlimited,,A6,-0.0018810325510523196,0.07783361494345271,-0.08803403296138748,0.19836777162322622,0.02485930576522797,9.297293189543545,10,1,1345,,"(0.4, 0.6)"
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A6,-0.005746084920663086,0.09254423091596152,-0.18669586027066837,0.1141925108416605,0.0312679141756181,5.095133856477341,10,1,933,,"(0.3, 0.5)"
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A6,-0.00765628468880053,0.07076147488165614,-0.5134052987674567,0.1100373939456199,0.0229944334994051,5.526793812531474,10,1,1028,,"(0.5, 0.7)"
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,max_per_currency_2,2.0,A6,-0.024676705890946726,0.07641533400416049,-0.7048125459298562,0.09002325751431339,0.026590253194962832,4.4218299711305695,10,1,837,,"(0.4, 0.6)"
1,v_shape_recovery,4.0,sl_partial_close_1r_runner_trail,unlimited,,A6,-0.03674014230868905,0.08588027905385634,-0.8575846718310792,0.15573350189974,0.031092163220822575,6.238819373645882,10,1,1345,,"(0.4, 0.6)"
1,v_shape_recovery,3.5,sl_plus_tp_3r,unlimited,,A3,-0.23485543284300925,0.25629003290393737,-0.9210233815212532,-0.048189507379670024,0.12053467702953746,-0.06586789103262025,3,7,984,5.0,
1,v_shape_recovery,4.0,sl_plus_tp_2r,unlimited,,A6,-0.15290783927283325,0.16032795977363842,-0.953719111056603,-0.010018760989982516,0.07331994867338171,0.05281309201506354,4,7,1028,,"(0.5, 0.7)"
1,v_shape_recovery,4.0,sl_plus_tp_2r,unlimited,,A6,-0.2839713845202114,0.2959845748314092,-0.9594127825139522,-0.03248512840395397,0.1266428511241667,0.04143745020771236,3,8,1661,,"(0.3, 0.5)"
1,v_shape_recovery,4.0,sl_plus_tp_2r,unlimited,,A1,-0.2839713845202114,0.2959845748314092,-0.9594127825139522,-0.03228923055403026,0.17363083476563312,0.014763295779576231,4,7,2162,,
