group,n,pct_prepeak_dip_below_-3.5atr,prepeak_dip_atr_p50,prepeak_dip_atr_p25,prepeak_dip_atr_p10
<0,1660,59.27710843373494,-4.039606860466921,-6.439054057967825,-9.36551172977736
0-1,1013,13.326752221125371,-1.8183068262444737,-2.9665581001509103,-4.348574920562867
1-2,534,2.0599250936329585,-1.2155860879281222,-2.1477406709358435,-2.952580322419688
2-3,75,1.3333333333333335,-1.2495712664877574,-2.052050030091978,-2.6932154924380125
3-5,19,0.0,-1.0774153028271107,-1.7218660241600632,-2.0709418348683997
ALL winners (realized>0),1631,8.583690987124463,-1.544297575410728,-2.6639254233448244,-3.438966330929931
ALL,3301,34.262344744016964,-2.2167743763416103,-4.509221756009044,-7.6205803108204275
