N,mae_thr_depR,n_admit,n_reject,admit_only_mean_depR_NO_tax,foregone_mean_from_late_entry_depR,admit_net_mean_depR_late_entry,reject_pct_were_winners,reject_mean_realized_depR,full_pool_mean_depR,net_edge_vs_full_pp
8,-1.0,3025,276,0.08437232946454924,0.06851677190848433,0.015855557556064912,0.36231884057971014,-0.9945603496117663,-0.005838339855372928,0.02169389741143784
8,-0.75,2666,635,0.1682480285067753,0.1472700840437058,0.020977944463069487,13.543307086614172,-0.7367269352151953,-0.005838339855372928,0.026816284318442414
8,-0.5,2082,1219,0.2684799641926478,0.2585606897343687,0.00991927445827912,26.41509433962264,-0.47436230132213186,-0.005838339855372928,0.01575761431365205
8,-0.35,1566,1735,0.34944876817730747,0.34624311196231455,0.0032056562149928875,33.8328530259366,-0.32651823102492766,-0.005838339855372928,0.009043996070365816
8,-0.25,1128,2173,0.41486000184510347,0.42487401066612246,-0.010014008821018994,38.564196962724345,-0.22422201654112414,-0.005838339855372928,-0.004175668965646065
