fold,oos_start,oos_end,n_oos_signals,n_train,n_train_pos,n_admitted,n_admitted_cluster0_true_pos,admit_rate,n_trades,final_r_mean,final_r_sign_positive,fold_roi_pct,annualised_roi_pct,max_dd_pct,ending_equity,note
1,2020-10-01,2021-07-01,336,0,0,0,0,0,0,,0,0,0,0,10000,no training data (Arc 9 data start coincides with F1 OOS start)
2,2021-07-01,2022-04-01,324,336,48,134,28,0.4135802469,134,0.1060207821,1,6.954011949,9.375628131,7.264515911,10695.40119,
3,2022-04-01,2023-01-01,335,660,95,97,14,0.2895522388,97,0.04438156414,1,1.96833036,2.622707483,5.845267003,10196.83304,
4,2023-01-01,2023-10-01,297,995,145,93,17,0.3131313131,93,-0.1390300543,0,-6.371790876,-8.431795105,9.851448079,9362.820912,
5,2023-10-01,2024-07-01,277,1292,197,131,34,0.4729241877,131,0.09837627704,1,6.405758199,8.628881155,6.624035762,10640.57582,
6,2024-07-01,2025-04-01,295,1569,267,195,33,0.6610169492,195,-0.1624748794,0,-14.91393039,-19.36951301,20.90367486,8508.606961,
7,2025-04-01,2026-01-01,289,1864,312,167,33,0.5778546713,167,0.1027169856,1,8.636717856,11.63066555,8.818072949,10863.67179,
