feature,auc,ks_stat,ks_pvalue,cohen_d,mean_pos,mean_neg,n
d1_ema_50_slope_at_entry,0.5342387004562151,0.05434026985336449,6.372593068337099e-295,0.11732174054869875,0.00480668274491764,0.0019680214261346774,1033074
atr_14,0.5319844493154795,0.06701190970870252,0.0,0.09991225335501508,0.06379190324040761,0.053291274026513534,1033074
atr_50,0.5305099947915936,0.06736681759180019,0.0,0.10225950736378962,0.06377008939781834,0.05327164947227932,1033074
atr_200,0.5281404936650604,0.06788588280211105,0.0,0.10614786501058594,0.06379512432598185,0.05315631284200492,1033074
d1_close_above_ema_50,0.5228002641236476,0.04560052824729516,9.007127953774472e-208,0.09140306575047438,0.5693498946535738,0.5237493664062786,1033074
realised_vol_20,0.48257801860791355,0.027452946792764776,1.475798954930555e-75,0.03760607513533163,0.0009976302559738057,0.000976632938328502,1033074
ema_200_slope,0.5165692443975081,0.028090106621271038,4.371441344241513e-79,0.06221103875073032,0.0009714672283446479,0.00029198960651099316,1033074
h4_ema_50_slope_at_entry,0.5164591425224971,0.02773413879492398,4.1865380965045455e-77,0.06177461875776968,0.0009677946301275849,0.0002933416937978379,1033074
atr_ratio_14_200,0.5144976054706936,0.025573299999739785,1.2765098644291504e-65,0.053095448882408254,1.00709386216992,0.9964638828248121,1033074
atr_percentile_200,0.512336099815639,0.02044308591302557,4.371650832500672e-42,0.043230794391007424,0.4964197427569578,0.48293936466493564,1033074
hour_of_week,0.5111840135835608,0.023155526135269555,7.104007448090667e-54,-0.03875277213566565,58.2999140494862,59.64094174486997,1033074
ema_50_above_200,0.5107203951401673,0.021440790280334465,2.9847499037618742e-46,0.042911571041975904,0.5359965315544873,0.5145557412741528,1033074
atr_ratio_14_50,0.5101973640008399,0.02010564140485427,1.010783373588653e-40,0.03715510967188603,0.9988612544089063,0.9947337000986722,1033074
day_of_week,0.5101593329392426,0.01892323187017858,4.026979542671911e-36,-0.03591058107622971,1.9545983524883814,2.0053427062687237,1033074
session_marker,0.5096740061848772,0.018660518929093317,3.8836808878743695e-35,-0.033937728074484086,1.1757649976040343,1.213676085816041,1033074
atr_percentile_60,0.5085731285200978,0.014082219679911079,3.406256338705761e-20,0.03007564154911259,0.48803234173315785,0.47840477830412426,1033074
ema_spread_20_50_atr,0.5060307666617578,0.014420546984815208,3.724160779800509e-21,0.021836726241677425,0.05912627208761243,0.03503999552692068,1033074
adx_14,0.5059913732010417,0.011541794166798902,1.049685505592896e-13,-0.020576025535377032,24.95076278439647,25.16285096878286,1033074
ema_50_slope,0.5057735890178283,0.01564461088032776,7.990745648764905e-25,0.017453461630109534,0.0001846328941866936,8.598808803063978e-05,1033074
dxy_proxy_ema_20_slope,0.5053615236021987,0.010058882697903004,1.6368459185400804e-10,0.01113134214461785,0.0001262798271445992,5.902186239915137e-05,1033074
di_plus_14,0.5051494524574204,0.009001555198299316,1.6706677614893643e-08,0.01887657365514597,19.506359176503462,19.37526409988501,1033074
close_in_bar,0.5035580553440828,0.006450173989208552,0.00014226096100370024,-0.012035398897460102,0.5067710413320192,0.5103453813611571,1032961
position_in_range_60,0.5034243201907975,0.01102720551257419,1.5091068617528998e-12,0.011192162245148707,0.5207462177160954,0.5174300198834652,1033074
atr_percentile_20,0.5034072331193468,0.004804596820817686,0.00997749021788617,0.011672500933692034,0.4851317020483605,0.4812588245602555,1033074
ema_20_above_50,0.5028979717724587,0.005795943544917415,0.0008941184828942083,0.011596830447684503,0.5195442340896471,0.5137482905447298,1033074
di_minus_14,0.5026121523005328,0.005439249281183056,0.002243371053316424,0.010919111347110036,21.20566708625529,21.128776050854068,1033074
prev_3_body_ratio_mean,0.5025210844726807,0.004438782309587497,0.02170796193185742,0.009675070361210516,0.4422288688674365,0.44078432888754326,1032713
ema_20_slope,0.49753798676680594,0.011205960714999796,6.061240924586065e-13,0.004800950677164966,5.509158873127731e-05,3.747554470280737e-05,1033074
range_compression_20,0.5024590641376692,0.004916301830466374,0.007776208016685769,-0.006148417293690743,1.009150371026968,1.0126084358586152,1033074
recent_5_bar_size_pct_atr,0.5019849052867158,0.005191780051791328,0.004103659482760835,-0.003304397361888799,0.985644077328327,0.9866182052381427,1033074
prev_3_body_size_atr_mean,0.5010382292060841,0.0038967360745808532,0.06117386159670268,0.0027466542220913005,0.4677310890143666,0.466989826262101,1033074
body_ratio,0.5008953117750015,0.0034901422948898086,0.12190880332145981,0.002890539899341148,0.44161379479760027,0.4408689621347369,1032961
position_in_range_20,0.500854354323378,0.002606877239523353,0.4158727911106378,0.0028836800281818896,0.5193588089460754,0.5185112122370985,1033074
range_compression_60,0.4995471700730565,0.0028154720800571686,0.3223747421276947,0.0032896371251170966,1.0056260981244136,1.0037158716622172,1033074
body_size_atr,0.4997540461671865,0.002702815078717391,0.3709893199001084,-0.0025116098251932086,0.4661485135271558,0.46722281634161295,1033074
