metric,value
unit_id,agg_c0_c2
n,1410
sl_atr_mult,2
fwd_mfe_p5,0.01653676259
fwd_mfe_p10,0.04941343196
fwd_mfe_p25,0.1531399226
fwd_mfe_p50,0.3989235423
fwd_mfe_p75,0.9566245873
fwd_mfe_p90,1.74416923
fwd_mfe_p95,2.501075283
fwd_mfe_p99,4.162744287
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,-1
final_r_p90,-1
final_r_p95,-1
final_r_p99,1.044253496
fwd_mfe_mean,0.7211600606
final_r_mean,-0.9594955039
hartigan_dip_stat,0.006197739575
hartigan_dip_pvalue,0.9912322706
shape_tag,heavy_right_tail
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.2290780142
mass_final_r_le_0R_count,1390
mass_final_r_le_0R_frac,0.9858156028
mass_final_r_0R_to_0.5R_count,2
mass_final_r_0R_to_0.5R_frac,0.001418439716
mass_final_r_0.5R_to_1R_count,3
mass_final_r_0.5R_to_1R_frac,0.002127659574
mass_final_r_1R_to_2R_count,7
mass_final_r_1R_to_2R_frac,0.004964539007
mass_final_r_2R_to_5R_count,8
mass_final_r_2R_to_5R_frac,0.005673758865
mass_final_r_gt_5R_count,0
mass_final_r_gt_5R_frac,0
