unit_id,type,constituent_clusters,n,size_fraction,tentative_label,final_archetype_label,selected_SL_atr_mult,selected_R_atr,composite_at_selected_sl,mono_pre_peak,frac_reach_1R,frac_reach_2R,frac_wrong_way_pre_peak,fwd_mfe_h240_p50,shape_tag,bimodal_separated_pass,pct_peak_and_collapse,gate_status,kill_criteria
c0,cluster,c0,744,0.3236189648,tentative_Early-peak hold OR Peak-and-collapse,Early-peak hold,,,,0.01422491039,0.0188172043,0,0.0685483871,0.1666517598,unclassified,0,0.0188172043,FAIL,mono_pre_peak 0.0142 < 0.55;fwd_mfe_p50 0.1667R < 1.5R;frac_reach_1R 0.0188 < 0.7
c2,cluster,c2,666,0.2896911701,tentative_Early-peak hold OR Peak-and-collapse,Early-peak hold OR Peak-and-collapse (Step 4 disambiguation),,,,0.6490178159,0.481981982,0.1711711712,0.007507507508,0.9718807523,unclassified,0,0.463963964,FAIL,fwd_mfe_p50 0.9719R < 1.5R;frac_reach_1R 0.4820 < 0.7
agg_c0_c2,aggregate,c0+c2,1410,0.6133101348,tentative_Early-peak hold OR Peak-and-collapse,Early-peak hold,,,,0.3140632615,0.2375886525,0.08085106383,0.03971631206,0.3989235423,heavy_right_tail,0,0.2290780142,FAIL,mono_pre_peak 0.3141 < 0.55;fwd_mfe_p50 0.3989R < 1.5R;frac_reach_1R 0.2376 < 0.7
c1,cluster,c1,324,0.1409308395,tentative_V-shape recovery,V-shape recovery (forward-geometry weak),3,3,0.6118871073,0.5618871073,1,0.962962963,0,4.480774827,unclassified,0,0.2438271605,PASS,
c3,cluster,c3,565,0.2457590257,tentative_V-shape recovery,V-shape recovery,2,2,0.4206271578,0.5723970693,0.8088495575,0.5115044248,0.01061946903,2.055995357,unclassified,0,0.7185840708,PASS,
agg_c1_c3,aggregate,c1+c3,889,0.3866898652,tentative_V-shape recovery,V-shape recovery,3,3,0.415496851,0.5668466822,0.8020247469,0.5916760405,0.003374578178,2.502110926,unclassified,0,0.429696288,PASS,
