metric,value
unit_id,c2
n,666
sl_atr_mult,2
fwd_mfe_p5,0.305291958
fwd_mfe_p10,0.3890359255
fwd_mfe_p25,0.6079698707
fwd_mfe_p50,0.9718807523
fwd_mfe_p75,1.588450588
fwd_mfe_p90,2.578192541
fwd_mfe_p95,3.406005294
fwd_mfe_p99,4.692098767
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,-1
final_r_p90,-1
final_r_p95,-1
final_r_p99,2.151151199
fwd_mfe_mean,1.276811515
final_r_mean,-0.9142472379
hartigan_dip_stat,0.01370700294
hartigan_dip_pvalue,0.5796888799
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.463963964
mass_final_r_le_0R_count,646
mass_final_r_le_0R_frac,0.96996997
mass_final_r_0R_to_0.5R_count,2
mass_final_r_0R_to_0.5R_frac,0.003003003003
mass_final_r_0.5R_to_1R_count,3
mass_final_r_0.5R_to_1R_frac,0.004504504505
mass_final_r_1R_to_2R_count,7
mass_final_r_1R_to_2R_frac,0.01051051051
mass_final_r_2R_to_5R_count,8
mass_final_r_2R_to_5R_frac,0.01201201201
mass_final_r_gt_5R_count,0
mass_final_r_gt_5R_frac,0
