sl_atr_mult,R_atr,size_fraction,mono_pre_peak,fwd_mfe_p5,fwd_mfe_p25,fwd_mfe_p50,fwd_mfe_p75,fwd_mfe_p95,frac_reach_1R,frac_reach_2R,frac_wrong_way_pre_peak,shape_tag,bimodal_separated,hartigan_dip_stat,hartigan_dip_pvalue,pct_peak_and_collapse,peak_mfe_p50_atr_units,gate_size,gate_mono,gate_mfe_p50,gate_reach_1R,gate_wrong_way,gate_shape,gate_local_peaks,gate_pass,composite,selected
0.5,0.5,0.3866898652,0.2537475292,0.07539361742,0.6098584204,1.573092502,4.546433996,24.31136537,0.6220472441,0.4218222722,0.4465691789,heavy_right_tail,0,0.008780055405,0.9618014099,0.5545556805,0.786546251,1,0,1,0,0,1,1,0,-0.5207744055,0
1,1,0.3866898652,0.3964953605,0.08565755788,0.6502334816,2.113770228,7.524243196,17.32921939,0.6557930259,0.5095613048,0.1451068616,scattered,0,0.006098828652,0.9983968123,0.4893138358,2.113770228,1,0,1,0,1,0,1,0,-0.04281847528,0
1.5,1.5,0.3866898652,0.4977880405,0.2114767193,1.158808398,3.153491543,6.971729111,13.24505458,0.7716535433,0.6051743532,0.03712035996,scattered,0,0.00660180241,0.9962266646,0.512935883,4.730237314,1,0,1,1,1,0,1,0,0.2823212239,0
2,2,0.3866898652,0.5685955806,0.5993636298,1.586680505,3.374068381,5.933254143,11.01453352,0.8785151856,0.6861642295,0.006749156355,scattered,0,0.006229553075,0.9978327842,0.5489313836,6.748136762,1,1,1,1,1,0,1,0,0.4903616099,0
3,3,0.3866898652,0.5668466822,0.4743203981,1.274895611,2.502110926,4.105623813,7.540528496,0.8020247469,0.5916760405,0.003374578178,unclassified,0,0.005866265289,0.9994002381,0.429696288,7.506332778,1,1,1,1,1,1,1,1,0.415496851,1
4,4,0.3866898652,0.5641569429,0.3908030866,1.082899857,2.032055191,3.164914738,5.86578766,0.7694038245,0.5050618673,0.001124859393,unclassified,0,0.006713204463,0.9957460055,0.3622047244,8.128220764,1,1,1,1,1,1,1,1,0.382435908,0
