percentile,fwd_mfe_h240_R,final_r
1,0.017817052192986012,-2.994340658187866
5,0.10925074964761736,-1.6338584065437316
10,0.2075447976589203,-1.4049271821975708
20,0.4880804896354676,-1.2048704385757447
30,1.033480978012085,-1.103960680961609
40,1.7141290187835698,-1.027349019050598
50,2.4817700386047363,-0.9718741178512573
60,3.241816997528076,-0.9028027415275574
70,4.239129829406737,-0.8395941376686096
80,5.294659900665284,-0.7462064504623412
90,7.122950172424317,-0.57617951631546
95,8.421539974212646,-0.43999102115631106
99,11.642485904693599,-0.037073329761625834
