percentile,fwd_mfe_h240_R,final_r
1,0.31246360540390017,-5.471096324920654
5,0.5701649785041809,-3.100531578063965
10,0.8604599833488464,-2.1982555389404297
20,1.389299988746643,-1.4106892347335815
30,1.8780449628829956,-1.1755831241607666
40,2.2482149600982666,-1.039283037185669
50,2.803105115890503,-0.9385857582092285
60,3.340409994125366,-0.8106679320335388
70,4.008164882659912,-0.6335999965667725
80,4.820525169372559,-0.16279210150241852
90,6.606100082397461,0.9128066897392273
95,8.05780029296875,1.7813767194747925
99,11.89844989776611,3.2826454162597627
