percentile,fwd_mfe_h240_R,final_r
1,0.3043245157599449,-3.4027271032333375
5,0.6852775216102601,-1.8062276721000672
10,0.9691079914569855,-1.3757948517799377
20,1.682056999206543,-1.131314992904663
30,2.1969674348831174,-1.000383323431015
40,2.7292159080505383,-0.8838467359542846
50,3.2764949798583984,-0.7538690567016602
60,3.8902969360351562,-0.4554802894592288
70,4.691605520248412,0.3270277887582774
80,5.433549880981446,1.1680720806121827
90,6.765744972229003,2.2794849872589107
95,8.024130415916439,2.9806699752807577
99,11.935865306854238,4.0656139850616455
