percentile,fwd_mfe_h240_R,final_r
1,0.3094400018453598,-5.448304891586304
5,0.5624175071716309,-3.2398797273635864
10,0.833050012588501,-2.2298667430877686
20,1.359974980354309,-1.4133329391479492
30,1.8559550046920776,-1.186933994293213
40,2.206554889678955,-1.039776086807251
50,2.743109941482544,-0.9475226402282715
60,3.2857251167297363,-0.8198410272598267
70,3.9811899662017822,-0.6588838696479797
80,4.827970027923584,-0.19519302248954773
90,6.573800086975098,0.8590461015701294
95,8.056275367736816,1.683552861213684
99,11.895349979400635,3.2791972160339355
