percentile,fwd_mfe_h240_R,final_r
1,0.48369710922241216,-2.583471941947937
5,0.9069757282733917,-2.2391149282455443
10,1.0878835320472717,-1.8356343746185302
20,1.2491510152816772,-1.428253173828125
30,1.7079699873924254,-1.116394567489624
40,2.036686944961548,-1.0580339431762693
50,2.3676799535751343,-0.8627001345157623
60,2.866580057144165,-0.6658848524093629
70,3.2836630105972278,-0.25581113323569393
80,4.246182918548585,0.3289122223854073
90,6.088479900360109,0.959839379787445
95,7.637777471542353,1.574405288696289
99,8.866514091491698,2.5374748110771166
