percentile,fwd_mfe_h240_R,final_r
1,0.017128695771098136,-3.042970967292786
5,0.09537942372262478,-1.633978444337845
10,0.1936308473348618,-1.3873353123664856
20,0.44832280278205877,-1.2049011707305908
30,1.0063865423202514,-1.1085322737693786
40,1.6600519657135016,-1.0257280349731446
50,2.4712774753570557,-0.9693883061408997
60,3.202234935760498,-0.9023804903030396
70,4.228052473068236,-0.8431321501731874
80,5.2830598831176765,-0.7463797807693482
90,7.123750162124634,-0.5720095872879027
95,8.368000078201286,-0.4323930695652967
99,11.676026105880737,-0.022372819473966223
