n,reach_1r,reach_2r,reach_3r,mfe_p25,mfe_p50,mfe_p75,mfe_p90,mae_p50,ww_pp,ttp_p50,ttp_p75,bars_held_p50,mean_r,p25_r,p50_r,cluster_id,archetype,composite,candidate_at_sl_2x,best_sl_multiplier,best_sl_composite,candidate_at_best_sl
1771,0.709768492377188,0.4980237154150198,0.32919254658385094,0.8478092051718537,1.9951362622054782,3.5432944914108147,5.341464673677049,-5.120979718790339,0.5279503105590062,7.0,33.0,21.0,-0.8450526496578377,-1.0000000000000053,-0.9999999999999996,0,monotonic_down,0.6346857165684294,False,1.5,0.42863618341058396,False
1528,0.9731675392670157,0.8965968586387435,0.7892670157068062,3.3874626692634844,5.267181992142362,7.780650040757397,10.805387122517933,-1.8932804676045016,0.5058900523560209,8.0,103.25,20.0,0.9282388987852496,-1.0000000000000038,-0.999999999999996,1,v_shape_recovery,0.8627945026178011,False,4.0,0.5605493004668973,False
2,0.5,0.5,0.5,1.6598414037964595,3.070825844695452,4.481810285594444,5.32840095013384,-143.81413959028765,0.5,13.0,19.5,71.5,-1.0000000000000533,-1.0000000000000573,-1.0000000000000533,2,monotonic_down,0.675,False,1.5,0.675,False
