cluster_label,archetype_label,centroid_monotonicity,centroid_local_peaks,centroid_pullback,centroid_time_to_peak_rel,pct_peak_and_collapse,size,size_fraction,boundary_reason
0,Early-peak hold,0.008403835307,0.2453468697,0,0.04058286594,0.006768189509,591,0.2301401869,
1,unassigned,0.4989183752,8.697768763,0.472925398,0.3845657514,0.6632860041,493,0.1919781931,no §11 pattern matched
2,Stepwise climber,0.5489078067,24.41842105,0.4984716916,0.8159857363,0.1263157895,380,0.1479750779,
3,Early-peak hold,0.5785008308,2.528604119,0.04415146408,0.2526499841,0.2654462243,437,0.1701713396,
4,Stepwise climber,0.5716157224,7.785932722,0.4259963526,0.7872228676,0.4740061162,327,0.1273364486,
5,unassigned,0.01807359307,1.545454545,0.09684946486,0.6446862572,0.01818181818,110,0.04283489097,no §11 pattern matched
6,unassigned,0.5037068052,8.373913043,1.083392279,0.641395796,0.5565217391,230,0.08956386293,no §11 pattern matched
