descriptor,fold0,fold1,fold2,fold3,fold4,cohort_mean_5fold,cohort_std_5fold,fold2_zscore,pearson_corr_with_E_AUC,pearson_corr_with_D1_AUC
atr14_4h_at_entry,0.07553492765116801,0.17372948239043265,0.22612145413493642,0.141684967636161,0.11404304341438687,0.14622277504541698,0.057431081441967465,1.3912097262221133,-0.535083867285002,-0.570683200292432
atr14_4h_at_entry_pct_of_close,0.0032381265478415777,0.004022238826037032,0.003274697181485143,0.0032220673193440693,0.0029431696016199126,0.0033400598952655473,0.0004035699872454049,-0.1619612851454642,0.26838997357951033,0.008795554621980959
range_pct_atr_last_5_bars,2.243831552045824,2.5755449914421766,2.583443890510887,2.780022507019536,2.530467070057673,2.542662002215219,0.1926997774733998,0.2116343299944786,0.09053167094955167,-0.7732706260458305
range_pct_atr_last_20_bars,4.67197918491767,4.7515785952773975,4.615469757917561,4.4209438095319555,4.3928135741409395,4.570556984357104,0.15736046642355156,0.2854133225531334,-0.13788400397808462,0.24995381458746843
ema20_4h_dist_atr,-0.2993288511106052,-0.575847146004974,-0.44541258672693224,-0.4335024791122091,-0.4688611939931545,-0.44459045138957504,0.09879516736565748,-0.008321614905659693,-0.3434775121036808,0.09131472932398438
ema50_4h_dist_atr,-0.8940906772576085,-1.0583003217407214,-0.9315034338127298,-0.9723810073426841,-1.01570071134063,-0.9743952302988748,0.06526636130702998,0.6571807532577272,-0.6692364874362727,-0.13872186534156897
ema200_4h_dist_atr,-1.4626227275890766,-0.8468004343349271,-0.6348708580269286,-1.3662113152208089,-0.8758279715985042,-1.037266661354049,0.3582577930452543,1.1232018148347462,-0.3441986386943667,0.0034245596314005713
ema20_slope_4h,-0.08405485680067548,-0.11830861545324224,-0.10450349413688836,-0.08889970854043079,-0.08958425038244551,-0.09707018506273647,0.014129045293760675,-0.5261012983966021,0.003146937276552235,0.07671803445382144
ema50_slope_4h,-0.05487609887017737,-0.06154194466811349,-0.057230247557773645,-0.053934663647749105,-0.054464320390975374,-0.0564094550269578,0.0031335073209366425,-0.26194051800411905,-0.09282945516235538,-0.12489495765323465
spread_pips_used,1.8763157894736837,2.078947368421053,1.5026315789473685,1.7447368421052634,1.6631578947368417,1.7731578947368418,0.21808312476548772,-1.2404734024257014,0.7223971967889478,0.3876874864877023
atr14_d1_at_entry,0.17653234268779497,0.4299910053495216,0.4771563774046608,0.33692185144177195,0.3085021526481694,0.34582074590638373,0.11668773700087362,1.1255307102004541,-0.3317997846387629,-0.49109774694795494
atr14_d1_at_entry_pct_of_close,0.007980996609400796,0.009730327146220005,0.0074949136663677324,0.007497116532986437,0.0076650402029729,0.008073678831589574,0.0009470285584553684,-0.6111380275224485,0.5151942361497027,0.36102055007208456
ema20_d1_dist_atr,-0.5893159682929625,-0.47979021245261483,-0.4244166133444256,-0.5110262565482638,-0.4865174067190927,-0.4982132914714719,0.059970874308623585,1.2305419752140354,-0.40125815384846514,-0.40033061778325985
ema50_d1_dist_atr,-0.808352898642809,-0.380588371790376,-0.14815043989030183,-0.567930322398292,-0.2925744330280605,-0.4395192931499679,0.256168438254917,1.13741120976707,-0.35272293438097235,-0.19144905253056496
ema200_d1_dist_atr,-1.354352425520524,0.055686861559123335,0.9714629522296265,-0.6530380771993943,0.051860939568427654,-0.18567594987254815,0.8714760871845781,1.3277919143375112,-0.4711305002375527,-0.2584373114420349
ema20_slope_d1,-0.027574539684720463,0.00025315247192361507,-0.00011818533596276291,-0.03025655343381361,-0.01439517060221038,-0.014418259316956719,0.014523104407088856,0.9846430611635597,-0.2710808247319125,0.08789862841153585
ema50_slope_d1,-0.018163793974163372,0.005522742300442415,0.013019989874684312,-0.012166912558112357,0.004560794633473754,-0.0014454359447350496,0.013118044956505964,1.1027120174828458,-0.3233008660181517,-0.043108395976164504
