bucket,features,auc_without_bucket,loo_drop_from_full,loo_pct_of_total_htf_lift
L_1,"L1_to_atr_proximity,reject_buffer_atr",0.6107132249777271,0.018896102132618497,0.7895226016223297
L_0,L1_minus_L0_atr,0.6019165084820127,0.027692818628332838,1.157069646229038
age,"L1_age_d1_bars,L0_age_d1_bars,L1_minus_L0_d1_bars",0.6254015121535896,0.004207814956755929,0.17581218541725396
slope,upper_fraction,0.6111882145202578,0.018421112590087718,0.769676446223172
