variant,pipeline,n_features,mean_auc,std_auc,gate,margin,pass
full_E,E,25,0.6296093271103456,0.04676161332927795,0.65,-0.02039067288965446,False
no_L_1,E,23,0.6107132249777271,0.048968717507346715,0.65,-0.03928677502227296,False
no_L_0,E,24,0.6019165084820127,0.022780584183996547,0.65,-0.0480834915179873,False
no_age,E,22,0.6254015121535896,0.028718592395010893,0.65,-0.02459848784641039,False
no_slope,E,24,0.6111882145202578,0.036491052327142566,0.65,-0.03881178547974218,False
base_no_HTF,E,18,0.605675747382811,0.056153606768254406,0.65,-0.044324252617188975,False
full_D1_reference,D1,11,0.5896962237425819,0.09585755612242837,0.6,-0.010303776257418074,False
