fold,n_test_trades,n_train_trades,entry_time_min,entry_time_max,auc_E,auc_D1,base_success,atr14_4h_at_entry__mean,atr14_4h_at_entry__std,atr14_4h_at_entry_pct_of_close__mean,atr14_4h_at_entry_pct_of_close__std,range_pct_atr_last_5_bars__mean,range_pct_atr_last_5_bars__std,range_pct_atr_last_20_bars__mean,range_pct_atr_last_20_bars__std,ema20_4h_dist_atr__mean,ema20_4h_dist_atr__std,ema50_4h_dist_atr__mean,ema50_4h_dist_atr__std,ema200_4h_dist_atr__mean,ema200_4h_dist_atr__std,ema20_slope_4h__mean,ema20_slope_4h__std,ema50_slope_4h__mean,ema50_slope_4h__std,spread_pips_used__mean,spread_pips_used__std,atr14_d1_at_entry__mean,atr14_d1_at_entry__std,atr14_d1_at_entry_pct_of_close__mean,atr14_d1_at_entry_pct_of_close__std,ema20_d1_dist_atr__mean,ema20_d1_dist_atr__std,ema50_d1_dist_atr__mean,ema50_d1_dist_atr__std,ema200_d1_dist_atr__mean,ema200_d1_dist_atr__std,ema20_slope_d1__mean,ema20_slope_d1__std,ema50_slope_d1__mean,ema50_slope_d1__std
0,38,38,2021-08-26 00:00:00,2022-08-30 12:00:00,0.6246537396121884,0.6689750692520776,0.5,0.07553492765116801,0.1689837075520975,0.0032381265478415777,0.0008211864947232772,2.243831552045824,0.6759524655453688,4.67197918491767,1.2901210905026825,-0.2993288511106052,1.1639354808152806,-0.8940906772576085,1.1219460979458233,-1.4626227275890766,1.8131588734455484,-0.08405485680067548,0.09630807830009244,-0.05487609887017737,0.03564765795395629,1.8763157894736837,1.1095249069774926,0.17653234268779497,0.3789309520280033,0.007980996609400796,0.0019554255313449466,-0.5893159682929625,0.5863336694918874,-0.808352898642809,1.2183763441795077,-1.354352425520524,2.972436538810309,-0.027574539684720463,0.07875809876794727,-0.018163793974163372,0.05678582056406439
1,38,76,2022-09-05 12:00:00,2023-07-06 20:00:00,0.669467787114846,0.6246498599439776,0.4473684210526316,0.17372948239043265,0.2647376104102791,0.004022238826037032,0.001475097031294094,2.5755449914421766,0.963832872894533,4.7515785952773975,1.1479970710578562,-0.575847146004974,1.1128820983526784,-1.0583003217407214,1.102672286504181,-0.8468004343349271,1.7510822731197753,-0.11830861545324224,0.08187884712982953,-0.06154194466811349,0.03431098044693992,2.078947368421053,1.241437243515548,0.4299910053495216,0.6465732163629443,0.009730327146220005,0.0022889364040139396,-0.47979021245261483,0.5966203861279504,-0.380588371790376,1.3360294626280014,0.055686861559123335,3.1528044882031705,0.00025315247192361507,0.07097391905695694,0.005522742300442415,0.059446762993205074
2,38,114,2023-07-13 20:00:00,2024-06-05 08:00:00,0.551246537396122,0.5180055401662049,0.5,0.22612145413493642,0.3073180094017346,0.003274697181485143,0.001364620111477231,2.583443890510887,0.9281612712078813,4.615469757917561,1.1924485249574237,-0.44541258672693224,0.948874868248809,-0.9315034338127298,0.8676414161349636,-0.6348708580269286,1.669028313042175,-0.10450349413688836,0.0822971964765131,-0.057230247557773645,0.030148555841646715,1.5026315789473685,0.8352008472170237,0.4771563774046608,0.6087064892132834,0.0074949136663677324,0.001957114561695948,-0.4244166133444256,0.5664344835479411,-0.14815043989030183,0.9937687744882326,0.9714629522296265,3.4363269476723564,-0.00011818533596276291,0.060474433936198835,0.013019989874684312,0.04742357287956354
3,38,152,2024-06-14 20:00:00,2025-04-01 08:00:00,0.6464285714285714,0.4607142857142857,0.2631578947368421,0.141684967636161,0.2762761585231896,0.0032220673193440693,0.001007384896815078,2.780022507019536,1.0667709779308736,4.4209438095319555,0.9423942500411776,-0.4335024791122091,0.9599184488038129,-0.9723810073426841,0.8559080583736957,-1.3662113152208089,1.894066639510536,-0.08889970854043079,0.08961121003057561,-0.053934663647749105,0.03283826407475562,1.7447368421052634,0.8800176191175525,0.33692185144177195,0.6575925144933079,0.007497116532986437,0.002092757013874131,-0.5110262565482638,0.6565232322491109,-0.567930322398292,1.3718525470306284,-0.6530380771993943,3.0960048163755727,-0.03025655343381361,0.06968031694788226,-0.012166912558112357,0.057337906375317
4,38,190,2025-04-10 16:00:00,2025-12-19 04:00:00,0.65625,0.6761363636363636,0.5789473684210527,0.11404304341438687,0.19243931248046797,0.0029431696016199126,0.0008616662886667887,2.530467070057673,0.9992683544514452,4.3928135741409395,1.2277044033266948,-0.4688611939931545,1.1706684981219828,-1.01570071134063,1.1105828424987367,-0.8758279715985042,1.7012622996768427,-0.08958425038244551,0.09446780419233798,-0.054464320390975374,0.03492916435730627,1.6631578947368417,0.9919734773676427,0.3085021526481694,0.5301961198170408,0.0076650402029729,0.0023532918541273947,-0.4865174067190927,0.545076983266431,-0.2925744330280605,1.1002490348357468,0.051860939568427654,3.3030627795853955,-0.01439517060221038,0.06435821333458693,0.004560794633473754,0.04815786726331708
