eet_trade_id,eet_pair,eet_signal_bar_time,eet_final_r,match_kind,utc_trade_id,utc_signal_bar_time,utc_final_r,bar_offset_h4,r_delta
1.0,AUDCAD,2010-02-01 02:00:00+00:00,-0.9999999999999946,none,,,,,
2.0,GBPCHF,2010-02-07 22:00:00+00:00,-0.9999999999999949,near_1bar,4.0,2010-02-07 20:00:00+00:00,-1.0,0.0,-5.10702591327572e-15
3.0,GBPAUD,2010-02-09 14:00:00+00:00,-0.9999999999999956,near_1bar,5.0,2010-02-09 16:00:00+00:00,-1.0,0.0,-4.440892098500626e-15
4.0,GBPCHF,2010-02-11 14:00:00+00:00,-1.000000000000006,near_1bar,6.0,2010-02-11 12:00:00+00:00,-1.0,0.0,5.995204332975845e-15
5.0,GBPNZD,2010-02-11 14:00:00+00:00,-1.0000000000000058,near_1bar,7.0,2010-02-11 12:00:00+00:00,-1.0,0.0,5.773159728050814e-15
6.0,EURNZD,2010-02-11 18:00:00+00:00,-1.0000000000000049,near_1bar,8.0,2010-02-11 20:00:00+00:00,-1.0,0.0,4.884981308350689e-15
7.0,EURGBP,2010-02-12 10:00:00+00:00,0.7324312085442606,near_1bar,9.0,2010-02-12 12:00:00+00:00,1.944874632574545,0.0,1.2124434240302844
8.0,EURCHF,2010-02-18 22:00:00+00:00,-1.0000000000000207,none,,,,,
9.0,USDCAD,2010-02-23 14:00:00+00:00,-0.9999999999999997,none,,,,,
10.0,EURCHF,2010-02-24 10:00:00+00:00,-0.9999999999999776,none,,,,,
11.0,CHFJPY,2010-02-26 02:00:00+00:00,-0.9999999999999967,near_1bar,13.0,2010-02-26 00:00:00+00:00,2.145140332374163,0.0,3.14514033237416
12.0,EURJPY,2010-03-01 06:00:00+00:00,-1.0000000000000002,near_1bar,14.0,2010-03-01 04:00:00+00:00,0.5288877146396374,0.0,1.5288877146396376
13.0,USDCHF,2010-03-04 06:00:00+00:00,-1.0000000000000009,near_1bar,16.0,2010-03-04 04:00:00+00:00,0.09741207934128737,0.0,1.0974120793412883
14.0,NZDJPY,2010-03-04 10:00:00+00:00,7.913202653266973,none,,,,,
15.0,NZDUSD,2010-03-04 22:00:00+00:00,4.427207945915395,none,,,,,
16.0,NZDCHF,2010-03-05 10:00:00+00:00,-0.9999999999999947,near_1bar,18.0,2010-03-05 12:00:00+00:00,0.5623120648188847,0.0,1.5623120648188795
17.0,EURNZD,2010-03-10 14:00:00+00:00,-0.9999999999999939,near_1bar,19.0,2010-03-10 16:00:00+00:00,0.4828249800312659,0.0,1.4828249800312598
18.0,AUDNZD,2010-03-19 10:00:00+00:00,-1.0000000000000007,none,,,,,
19.0,AUDCAD,2010-03-19 14:00:00+00:00,-1.0000000000000058,none,,,,,
20.0,EURGBP,2010-03-19 14:00:00+00:00,-0.9999999999999926,near_1bar,22.0,2010-03-19 16:00:00+00:00,-1.0,0.0,-7.438494264988549e-15
21.0,AUDUSD,2010-03-22 14:00:00+00:00,-0.9999999999999998,near_1bar,25.0,2010-03-22 12:00:00+00:00,1.0729768508314965,0.0,2.0729768508314965
22.0,GBPUSD,2010-03-24 22:00:00+00:00,-1.0000000000000058,none,,,,,
23.0,AUDUSD,2010-03-26 02:00:00+00:00,-1.0000000000000058,near_1bar,28.0,2010-03-26 04:00:00+00:00,1.1336955384689438,0.0,2.1336955384689498
24.0,CADCHF,2010-03-26 18:00:00+00:00,4.953491699332778,near_1bar,29.0,2010-03-26 16:00:00+00:00,1.0888466598777797,0.0,-3.8646450394549983
25.0,AUDCHF,2010-03-29 01:00:00+00:00,-1.0000000000000044,near_1bar,30.0,2010-03-29 00:00:00+00:00,1.0168020033493232,0.0,2.0168020033493277
26.0,NZDCHF,2010-03-31 17:00:00+00:00,-0.9999999999999993,near_1bar,33.0,2010-03-31 16:00:00+00:00,0.78764949123901,0.0,1.7876494912390093
27.0,CADCHF,2010-04-01 01:00:00+00:00,4.69189875300503,none,,,,,
28.0,AUDCHF,2010-04-01 13:00:00+00:00,-0.9999999999999994,none,,,,,
29.0,AUDCAD,2010-04-01 17:00:00+00:00,-0.9999999999999993,none,,,,,
30.0,NZDUSD,2010-04-06 13:00:00+00:00,-0.9999999999999976,near_1bar,34.0,2010-04-06 12:00:00+00:00,1.0045694461900703,0.0,2.004569446190068
31.0,AUDCAD,2010-04-07 13:00:00+00:00,-0.999999999999993,none,,,,,
32.0,NZDCAD,2010-04-09 09:00:00+00:00,-0.9999999999999921,near_1bar,38.0,2010-04-09 12:00:00+00:00,1.7181076931328423,1.0,2.7181076931328345
33.0,AUDJPY,2010-04-13 05:00:00+00:00,-1.000000000000004,none,,,,,
