fold,n_train,n_test,n_admit,test_date_min,test_date_max,win_rate,profit_factor,avg_win_r,avg_loss_r,expectancy_r,mean_r,std_r,sharpe_annual,total_return_r,total_return_pct,max_drawdown_pct,calmar,cagr_pct,final_equity
0,401,51,0,2023-06-22,2023-10-13,,,,,,,,,0.0,0.0,,,,10000.0
1,452,50,0,2023-10-19,2024-02-02,,,,,,,,,0.0,0.0,,,,10000.0
2,502,50,1,2024-02-06,2024-06-17,1.0,,3.905545027333333,0.0,3.905545027333333,3.905545027333333,0.0,,3.905545027333333,1.9527725136666563,-0.0,,,10195.277251366666
3,552,50,0,2024-06-18,2024-11-01,,,,,,,,,0.0,0.0,,,,10000.0
4,602,50,6,2024-11-05,2025-02-03,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,,-6.0,-2.9627490643734378,2.962749064373438,-24.019950661888693,-71.16508634980687,9703.725093562656
5,652,50,0,2025-02-03,2025-05-22,,,,,,,,,0.0,0.0,,,,10000.0
6,702,50,3,2025-05-23,2025-09-08,0.3333333333333333,0.5677981853333333,1.1355963706666665,-1.0,-0.28813454311111114,-0.28813454311111114,1.2329871394847878,-1.2922570646062495,-0.8644036293333335,-0.43536560156537396,0.9974999999999947,-4.360836007919138,-4.3499339178993175,9956.463439843463
7,752,50,1,2025-09-09,2025-12-31,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,,-1.0,-0.5000000000000004,0.5,,,9950.0
