bin,n_rows,status,n_folds_trained,min_train_n,min_val_n,mean_auc,worst_auc,fold_stdev,mean_base_rate_val,gate_pass
d1_down,109580,trained,7,13701,13697,0.5123687148040298,0.46775490188423563,0.033362325590503436,0.17728595417140355,False
d1_flat,17931,trained,7,2244,2241,0.5721186962474313,0.48820457603027234,0.049651723613034986,0.19041244342449162,False
d1_up,127663,trained,7,15964,15957,0.4967162543925842,0.4040705493495686,0.045037741921127375,0.20560613792424284,False
