cluster_label,size,size_fraction,centroid_monotonicity_ratio_in_profit,centroid_local_peaks_count,centroid_pullback_magnitude_median,centroid_time_to_peak_mfe_relative
0,308,0.1874619598,0.5266197301,12.77272727,0.3336058178,0.8285875826
1,266,0.1618989653,0.5548837785,25.7556391,0.2410777456,0.8305771783
2,145,0.08825319537,0.5005621623,7.068965517,0.733728234,0.6039713731
3,234,0.1424223981,0.004772079772,0.5598290598,0.01283802154,0.115272899
4,38,0.02312842362,0.9129357485,2.657894737,0.04517746916,0.3984133009
5,420,0.2556299452,0.5005900419,9.15,0.2728456573,0.3798476966
6,232,0.1412051126,0.507910121,3.461206897,0.05852335551,0.154839317
