fold_id,pair,val_auc,n_val,n_pos,clean_rate
1,AUD_CAD,0.40816558626179916,1139,162,0.14223002633889376
1,AUD_CHF,0.3759189159534782,1139,147,0.12906057945566285
1,AUD_JPY,0.5513352250472203,1139,262,0.23002633889376647
1,AUD_NZD,0.5240517605138544,1139,308,0.2704126426690079
1,AUD_USD,0.6180899990982055,1139,286,0.2510974539069359
1,CAD_CHF,0.6589409233674044,1139,247,0.21685689201053557
1,CAD_JPY,0.3410710740520151,1139,219,0.1922739244951712
1,CHF_JPY,0.5855342558028573,1139,237,0.2080772607550483
1,EUR_AUD,0.321718636693256,1139,154,0.13520632133450394
1,EUR_CAD,0.4478363493312353,1139,155,0.1360842844600527
1,EUR_CHF,0.5369103020348571,1139,281,0.2467076382791923
1,EUR_GBP,0.5763941486596866,1139,134,0.11764705882352941
1,EUR_JPY,0.6030765493730473,1139,277,0.24319578577699735
1,EUR_NZD,0.46484674615744753,1139,218,0.19139596136962247
1,EUR_USD,0.5810458437577081,1139,177,0.15539947322212466
1,GBP_AUD,0.4569110347460863,1139,194,0.17032484635645304
1,GBP_CAD,0.45430654459138686,1139,156,0.1369622475856014
1,GBP_CHF,0.5265364516770328,1139,363,0.31870061457418786
1,GBP_JPY,0.4451459573650854,1139,123,0.10798946444249341
1,GBP_NZD,0.5204671857619577,1139,124,0.10886742756804214
1,GBP_USD,0.7101239076561888,1140,205,0.17982456140350878
1,NZD_CAD,0.21922558922558924,1140,150,0.13157894736842105
1,NZD_CHF,0.5976340519624102,1140,135,0.11842105263157894
1,NZD_JPY,0.32649363164069045,1140,204,0.17894736842105263
1,NZD_USD,0.49679937369039123,1139,317,0.2783143107989464
1,USD_CAD,0.28664167753150804,1139,195,0.17120280948200176
1,USD_CHF,0.41807601812812856,1139,303,0.2660228270412643
1,USD_JPY,0.5845597232184296,1139,274,0.2405618964003512
2,AUD_CAD,0.356932424422051,1139,175,0.15364354697102722
2,AUD_CHF,0.4953128929739123,1139,183,0.16066725197541704
2,AUD_JPY,0.43956148087674674,1139,346,0.3037752414398595
2,AUD_NZD,0.20867749943579328,1139,84,0.07374890254609306
2,AUD_USD,0.5507815642008741,1139,151,0.13257243195785778
2,CAD_CHF,0.5222534222534223,1139,259,0.2273924495171203
2,CAD_JPY,0.46171093020152143,1139,254,0.22300263388937663
2,CHF_JPY,0.4588645055545438,1139,323,0.2835820895522388
2,EUR_AUD,0.6154472251187579,1139,180,0.15803336259877085
2,EUR_CAD,0.3932069043548225,1139,163,0.1431079894644425
2,EUR_CHF,0.5289929189614476,1139,155,0.1360842844600527
2,EUR_GBP,0.45301799237523505,1139,113,0.09920983318700614
2,EUR_JPY,0.3463035218172904,1139,211,0.18525021949078138
2,EUR_NZD,0.5526427595393113,1139,182,0.15978928884986832
2,EUR_USD,0.2463088694902468,1139,108,0.09482001755926252
2,GBP_AUD,0.3952330944732724,1139,284,0.24934152765583845
2,GBP_CAD,0.5324538966780347,1139,203,0.17822651448639157
2,GBP_CHF,0.48907518018917595,1139,247,0.21685689201053557
2,GBP_JPY,0.23772661402419185,1139,221,0.19402985074626866
2,GBP_NZD,0.5996954021355011,1139,233,0.20456540825285338
2,GBP_USD,0.4089108123532329,1139,237,0.2080772607550483
2,NZD_CAD,0.4717307566755892,1139,238,0.208955223880597
2,NZD_CHF,0.47972776358757147,1139,197,0.17295873573309922
2,NZD_JPY,0.5410174921840685,1139,266,0.23353819139596138
2,NZD_USD,0.4164207816251555,1140,138,0.12105263157894737
2,USD_CAD,0.48326676349552167,1140,324,0.28421052631578947
2,USD_CHF,0.3550639186628416,1140,177,0.15526315789473685
2,USD_JPY,0.4223689284800629,1140,319,0.27982456140350875
3,AUD_CAD,0.5358568177148367,1140,302,0.2649122807017544
