fold_id,train_start,train_end,val_start,val_end,train_n,val_n
1,2020-01-02 04:00:00,2020-09-24 00:00:00,2020-09-24 00:00:00,2021-06-18 20:00:00,31902,31896
2,2020-01-02 04:00:00,2021-06-18 20:00:00,2021-06-18 20:00:00,2022-03-11 16:00:00,63798,31896
3,2020-01-02 04:00:00,2022-03-11 16:00:00,2022-03-11 20:00:00,2022-12-02 16:00:00,95694,31896
4,2020-01-02 04:00:00,2022-12-02 16:00:00,2022-12-02 16:00:00,2023-08-25 12:00:00,127590,31896
5,2020-01-02 04:00:00,2023-08-25 12:00:00,2023-08-25 12:00:00,2024-05-21 04:00:00,159486,31896
6,2020-01-02 04:00:00,2024-05-21 04:00:00,2024-05-21 04:00:00,2025-02-12 00:00:00,191382,31896
7,2020-01-02 04:00:00,2025-02-12 00:00:00,2025-02-12 00:00:00,2025-11-04 20:00:00,223278,31896
