feature,importance
d1_ema_50_slope_at_entry,0.08986060748033989
w_ema_20_slope,0.08981178233171085
atr_200,0.08903848649666032
d1_atr_14_normalised,0.06598596650202934
d1_realised_vol_20,0.06355454198630811
atr_50,0.05933097633469861
d1_momentum_20_atr,0.04498124521593476
d1_atr_percentile_60,0.04390176194143902
atr_14,0.0436893240025673
ema_200_slope,0.04154330134700619
h4_ema_50_slope_at_entry,0.03955530245863497
d1_momentum_5_atr,0.03354467365428814
atr_ratio_14_200,0.03345642951950408
d1_range_compression_20,0.025623830360399894
realised_vol_20,0.021329828435841223
d1_atr_percentile_20,0.01898185890588145
ema_50_slope,0.01840739013571988
dxy_proxy_ema_20_slope,0.01695751751741542
atr_percentile_200,0.014258988094019116
atr_ratio_14_50,0.014150554868851518
hour_of_week,0.010649584512425458
ema_spread_20_50_atr,0.010640523133706338
adx_14,0.009390044081083428
d1_higher_lows_5,0.008723926339256447
d1_close_above_ema_50,0.008524001045817554
ema_20_slope,0.008512556441682929
d1_ema_stack_up,0.008358846473550337
d1_higher_highs_5,0.0076303109260724275
position_in_range_60,0.006761016215536993
d1_swing_state,0.0065629557851111485
cross_tf_trend_alignment,0.006045535239691044
day_of_week,0.004844155565332899
di_minus_14,0.0043066869246459645
di_plus_14,0.004145516759710481
h4_ema_stack_up,0.0039441839957633845
d1_h4_slope_agreement,0.0037297983361701047
cross_tf_trend_strong_up,0.0036638278746981934
atr_percentile_60,0.0035345842500439013
session_marker,0.002440997591562771
position_in_range_20,0.002343621724870026
ema_50_above_200,0.0017031646535011049
recent_5_bar_size_pct_atr,0.0013895020930601262
ema_20_above_50,0.001384251098163474
atr_percentile_20,0.0006802957994117996
prev_3_body_size_atr_mean,0.0004307323637070228
prev_3_body_ratio_mean,0.00042808618165816816
range_compression_20,0.00038899176586569176
range_compression_60,0.0002800841655997659
body_size_atr,0.00021823536245275932
close_in_bar,0.00021402126926360656
body_ratio,0.00016559444133448575
