cluster_label,size,size_fraction,centroid_monotonicity_ratio_in_profit,centroid_local_peaks_count,centroid_pullback_magnitude_median,centroid_time_to_peak_mfe_relative
0,349,0.181865555,0.5567224823,3.475644699,0.07314328619,0.2249264255
1,237,0.1235018239,0.4997580357,8.345991561,0.7976483358,0.688511503
2,359,0.1870766024,0.005060352832,0.4930362117,0.007885734345,0.1083311223
3,555,0.2892131318,0.5107132244,8.848648649,0.3545606271,0.4724650932
4,419,0.2183428869,0.5462248974,22.73508353,0.3374017587,0.8342742359
