pair,admitted_count,share_pct
CAD_CHF,9,0.10344827586206896
EUR_GBP,9,0.10344827586206896
EUR_CHF,8,0.09195402298850575
USD_CHF,8,0.09195402298850575
USD_CAD,5,0.05747126436781609
AUD_CAD,3,0.034482758620689655
AUD_CHF,3,0.034482758620689655
CAD_JPY,3,0.034482758620689655
EUR_NZD,3,0.034482758620689655
GBP_AUD,3,0.034482758620689655
GBP_CHF,3,0.034482758620689655
NZD_CAD,3,0.034482758620689655
NZD_USD,3,0.034482758620689655
AUD_USD,3,0.034482758620689655
NZD_CHF,3,0.034482758620689655
EUR_AUD,2,0.022988505747126436
EUR_JPY,2,0.022988505747126436
NZD_JPY,2,0.022988505747126436
EUR_CAD,2,0.022988505747126436
AUD_NZD,2,0.022988505747126436
USD_JPY,2,0.022988505747126436
AUD_JPY,1,0.011494252873563218
GBP_CAD,1,0.011494252873563218
GBP_JPY,1,0.011494252873563218
GBP_USD,1,0.011494252873563218
EUR_USD,1,0.011494252873563218
GBP_NZD,1,0.011494252873563218
