pos,ts,equity,dd_trailing
0,2010-02-01 06:00:00+00:00,0.9999234430146249,0.0
1,2010-02-01 10:00:00+00:00,0.9990389545954557,0.0008845561381205455
2,2010-02-01 14:00:00+00:00,0.9998692906624309,5.415649825221485e-05
3,2010-02-01 18:00:00+00:00,0.9997068336058488,0.00021662599300908145
4,2010-02-01 22:00:00+00:00,1.0000497985030776,0.0
5,2010-02-02 02:00:00+00:00,0.9957898134638137,0.004259772908949631
6,2010-02-02 06:00:00+00:00,0.9947790367421074,0.005270499297994676
7,2010-02-02 10:00:00+00:00,0.9947790367421074,0.005270499297994676
8,2010-02-02 14:00:00+00:00,0.9947790367421074,0.005270499297994676
9,2010-02-02 18:00:00+00:00,0.9947790367421074,0.005270499297994676
10,2010-02-02 22:00:00+00:00,0.9947790367421074,0.005270499297994676
11,2010-02-03 02:00:00+00:00,0.9947790367421074,0.005270499297994676
12,2010-02-03 06:00:00+00:00,0.9947790367421074,0.005270499297994676
13,2010-02-03 10:00:00+00:00,0.9947790367421074,0.005270499297994676
14,2010-02-03 14:00:00+00:00,0.9947790367421074,0.005270499297994676
15,2010-02-03 18:00:00+00:00,0.9947790367421074,0.005270499297994676
16,2010-02-03 22:00:00+00:00,0.9947790367421074,0.005270499297994676
17,2010-02-04 02:00:00+00:00,0.9947790367421074,0.005270499297994676
18,2010-02-04 06:00:00+00:00,0.9947790367421074,0.005270499297994676
19,2010-02-04 10:00:00+00:00,0.9947790367421074,0.005270499297994676
20,2010-02-04 14:00:00+00:00,0.9947790367421074,0.005270499297994676
21,2010-02-04 18:00:00+00:00,0.9947790367421074,0.005270499297994676
22,2010-02-04 22:00:00+00:00,0.9947790367421074,0.005270499297994676
23,2010-02-05 02:00:00+00:00,0.9947790367421074,0.005270499297994676
24,2010-02-05 06:00:00+00:00,0.9947790367421074,0.005270499297994676
25,2010-02-05 10:00:00+00:00,0.9947790367421074,0.005270499297994676
26,2010-02-05 14:00:00+00:00,0.9947790367421074,0.005270499297994676
27,2010-02-05 18:00:00+00:00,0.9947790367421074,0.005270499297994676
28,2010-02-05 22:00:00+00:00,0.9947790367421074,0.005270499297994676
29,2010-02-07 22:00:00+00:00,0.9947790367421074,0.005270499297994676
30,2010-02-08 02:00:00+00:00,0.9938769844888271,0.006172506632659973
31,2010-02-08 06:00:00+00:00,0.9925384186529229,0.007511005813308599
32,2010-02-08 10:00:00+00:00,0.9929327248681505,0.00711671923296246
33,2010-02-08 14:00:00+00:00,0.9933374075627261,0.006712056689975743
34,2010-02-08 18:00:00+00:00,0.9931091250170682,0.006940327868070765
35,2010-02-08 22:00:00+00:00,0.9933062781246819,0.006743184577897806
36,2010-02-09 02:00:00+00:00,0.9931091250170682,0.006940327868070765
37,2010-02-09 06:00:00+00:00,0.9916149119909424,0.00843446648832982
38,2010-02-09 10:00:00+00:00,0.9920714770822586,0.007977924132139554
39,2010-02-09 14:00:00+00:00,0.9926733128844482,0.007376118298979656
40,2010-02-09 18:00:00+00:00,0.9924473222611057,0.007602097668887807
41,2010-02-09 22:00:00+00:00,0.9925456405090259,0.00750378431682529
42,2010-02-10 02:00:00+00:00,0.992795945420872,0.007253491869168438
43,2010-02-10 06:00:00+00:00,0.9942486082857226,0.005800901341151744
44,2010-02-10 10:00:00+00:00,0.9900309604682568,0.01001833913652852
45,2010-02-10 14:00:00+00:00,0.9904316283606188,0.009617691195834189
46,2010-02-10 18:00:00+00:00,0.9897767588461697,0.010272528100385734
47,2010-02-10 22:00:00+00:00,0.9870859294801033,0.012963223473850247
48,2010-02-11 02:00:00+00:00,0.9861118794998464,0.013937224950291689
49,2010-02-11 06:00:00+00:00,0.9857694556813592,0.014279631717434389
50,2010-02-11 10:00:00+00:00,0.987606092525972,0.012443086330032745
51,2010-02-11 14:00:00+00:00,0.9896191295195024,0.010430149577739406
52,2010-02-11 18:00:00+00:00,0.9900231486825236,0.010026150533265825
53,2010-02-11 22:00:00+00:00,0.989798044340115,0.010251243666373375
54,2010-02-12 02:00:00+00:00,0.9896580714700104,0.01039120956638566
55,2010-02-12 06:00:00+00:00,0.9921724834064505,0.007876922837660973
56,2010-02-12 10:00:00+00:00,0.9919232131272538,0.008126180704188973
57,2010-02-12 14:00:00+00:00,0.9927401714859265,0.007309263026793764
58,2010-02-12 18:00:00+00:00,0.9914400888597503,0.008609280914025208
59,2010-02-14 22:00:00+00:00,0.990915659561137,0.009133684098144924
60,2010-02-15 02:00:00+00:00,0.9900871317014455,0.009962170700443872
61,2010-02-15 06:00:00+00:00,0.9898940984424671,0.010155194347133557
62,2010-02-15 10:00:00+00:00,0.9901093971548403,0.00993990635578012
63,2010-02-15 14:00:00+00:00,0.9892582717917934,0.010790989336168582
64,2010-02-15 18:00:00+00:00,0.990273424568,0.009775887110533215
65,2010-02-15 22:00:00+00:00,0.9892392617239651,0.01080999845737103
66,2010-02-16 02:00:00+00:00,0.9865740362096136,0.013475091254090745
67,2010-02-16 06:00:00+00:00,0.9861429666094245,0.013906139388728013
68,2010-02-16 10:00:00+00:00,0.9857888058443356,0.014260282518019172
69,2010-02-16 14:00:00+00:00,0.9873155854202994,0.012733578969606715
70,2010-02-16 18:00:00+00:00,0.9876431641989343,0.01240601650309234
71,2010-02-16 22:00:00+00:00,0.9884336243370174,0.011615595726780652
72,2010-02-17 02:00:00+00:00,0.9879258002446313,0.012123394531546454
73,2010-02-17 06:00:00+00:00,0.9882197800643143,0.011829429350889365
74,2010-02-17 10:00:00+00:00,0.9871533362150564,0.012895820095484503
75,2010-02-17 14:00:00+00:00,0.9863729434154506,0.013676174034632307
76,2010-02-17 18:00:00+00:00,0.9857279286812163,0.01432115664969785
77,2010-02-17 22:00:00+00:00,0.9871857740537895,0.012863383872026797
78,2010-02-18 02:00:00+00:00,0.9868769625962271,0.013172179952006598
79,2010-02-18 06:00:00+00:00,0.9847078936320286,0.015341140905196447
