risk_pct,governance,fold,fold_id,n_trades,roi_pct,trailing_dd_pct,from_initial_dd_pct,daily_dd_pct,killed,n_fires
0.4,off,1,1,201,23.238731341481,7.7337829134641405,3.040280616591695,3.858526030905872,0,0
0.4,off,2,2,182,25.830308725919295,7.550287508926358,2.263553856410716,3.392022529254626,0,0
0.4,off,3,3,179,28.471492989846283,3.8856345354927475,0.16637168612165798,1.495173252713102,0,0
0.4,off,4,4,195,40.19034012366078,6.401101287395767,0.605818006031511,2.0380381678614117,0,0
0.4,off,5,5,192,28.910217533922,6.179706019796161,5.549348398994569,2.5204738355229948,0,0
0.4,off,6,6,190,20.771888308895182,5.745041436432071,4.770245384594752,2.8414178452813585,0,0
0.4,off,7,7,171,28.508296362126394,5.523555070674853,2.2770905278280185,2.4391741472050357,0,0
0.4,off,8,8,190,42.560028749295654,6.963248191594736,2.1403777664793955,1.7139788718087765,0,0
0.4,off,9,9,176,13.771609037894962,5.086704757877547,0.8006154382094399,2.081835401869828,0,0
0.4,off,10,10,195,30.967184424702367,7.583467207096536,1.253975192162493,2.269674069413413,0,0
0.4,off,11,11,188,34.07567553835793,6.211015426362661,4.06444413576722,2.69635128275016,0,0
0.4,off,Holdout,12,1093,20.02991906056273,5.362929981793283,1.0443567684227384,1.9712857898396594,0,0
0.4,on,1,1,201,23.238731341481,7.7337829134641405,3.040280616591695,3.858526030905872,0,1
0.4,on,2,2,182,25.830308725919295,7.550287508926358,2.263553856410716,3.392022529254626,0,0
0.4,on,3,3,179,28.471492989846283,3.8856345354927475,0.16637168612165798,1.495173252713102,0,0
0.4,on,4,4,195,40.19034012366078,6.401101287395767,0.605818006031511,2.0380381678614117,0,0
0.4,on,5,5,192,28.910217533922,6.179706019796161,5.549348398994569,2.5204738355229948,0,0
0.4,on,6,6,190,20.771888308895182,5.745041436432071,4.770245384594752,2.8414178452813585,0,0
0.4,on,7,7,171,28.508296362126394,5.523555070674853,2.2770905278280185,2.4391741472050357,0,0
0.4,on,8,8,190,42.560028749295654,6.963248191594736,2.1403777664793955,1.7139788718087765,0,0
0.4,on,9,9,176,13.771609037894962,5.086704757877547,0.8006154382094399,2.081835401869828,0,0
0.4,on,10,10,195,30.967184424702367,7.583467207096536,1.253975192162493,2.269674069413413,0,0
0.4,on,11,11,188,34.07567553835793,6.211015426362661,4.06444413576722,2.69635128275016,0,0
0.4,on,Holdout,12,1093,20.02991906056273,5.362929981793283,1.0443567684227384,1.9712857898396594,0,0
0.5,off,1,1,201,29.113277075728416,9.507165098819776,3.8003507707396245,4.763075682179198,0,0
0.5,off,2,2,182,32.30291047657408,9.31193471685571,2.8294423205134644,4.195643815296878,0,0
0.5,off,3,3,179,35.59678528896424,4.796917791250556,0.20796460765206692,1.8159229813410813,0,0
0.5,off,4,4,195,50.27054636314592,7.66004626626528,0.757272507539386,2.4420306322400203,0,0
0.5,off,5,5,192,36.15921680199001,7.71176556694087,6.9366854987432,3.159001279897429,0,0
0.5,off,6,6,190,25.971136474203238,7.162971295355751,5.962806730743431,3.4832321692453143,0,0
0.5,off,7,7,171,35.64665017438278,6.847572827976908,2.8463631597850148,3.047703950431054,0,0
0.5,off,8,8,190,53.22623913308202,8.598123706152492,2.6754722080992055,2.0178364588220554,0,0
0.5,off,9,9,176,17.215677308525514,6.285085502739365,1.0007692977618055,2.5585519479414827,0,0
0.5,off,10,10,195,38.73105280058393,9.220758762313212,1.5674689902031136,2.789828653349115,0,0
0.5,off,11,11,188,42.624849947000065,7.720582011188923,5.080555169709,3.218351090811212,0,0
0.5,off,Holdout,12,1093,23.350183495801822,6.561229036187956,1.3054459605284174,2.338726735091308,0,0
0.5,on,1,1,201,23.054968739066737,10.435376348897696,3.8003507707396245,4.763075682179198,0,2
0.5,on,2,2,182,32.30291047657408,9.31193471685571,2.8294423205134644,4.195643815296878,0,1
0.5,on,3,3,179,35.59678528896424,4.796917791250556,0.20796460765206692,1.8159229813410813,0,0
0.5,on,4,4,195,50.27054636314592,7.66004626626528,0.757272507539386,2.4420306322400203,0,0
0.5,on,5,5,192,36.15921680199001,7.71176556694087,6.9366854987432,3.159001279897429,0,0
0.5,on,6,6,190,25.971136474203238,7.162971295355751,5.962806730743431,3.4832321692453143,0,0
0.5,on,7,7,171,35.64665017438278,6.847572827976908,2.8463631597850148,3.047703950431054,0,0
0.5,on,8,8,190,53.22623913308202,8.598123706152492,2.6754722080992055,2.0178364588220554,0,0
0.5,on,9,9,176,17.215677308525514,6.285085502739365,1.0007692977618055,2.5585519479414827,0,0
0.5,on,10,10,195,38.73105280058393,9.220758762313212,1.5674689902031136,2.789828653349115,0,0
0.5,on,11,11,188,42.624849947000065,7.720582011188923,5.080555169709,3.218351090811212,0,0
0.5,on,Holdout,12,1093,23.350183495801822,6.561229036187956,1.3054459605284174,2.338726735091308,0,0
