config_id,fold_id,n_trades,roi_pct,max_dd_pct,roi_dd_ratio,days_breaching_daily_5pct
A1_sl1.5_trailON_exp2,2,1120,-0.6311437695752771,0.7092179473261119,-0.8899151127728937,7
A1_sl1.5_trailON_exp2,3,1112,-0.8118771595191031,0.8316633898432959,-0.9762088477551946,10
A1_sl1.5_trailON_exp2,4,1070,-0.6129155533483635,0.6334300525635461,-0.9676136313202086,4
A1_sl1.5_trailON_exp2,5,1249,-0.8111617337883499,0.8199278432839604,-0.9893086817731416,15
A1_sl1.5_trailON_exp2,6,1121,-0.5209998321634333,0.5347369702334264,-0.9743104763001584,2
A1_sl1.5_trailON_exp2,7,1126,-0.014178519411651047,0.2929659887983204,-0.04839646905706733,3
A1_sl1.5_trailON_exp2,8,1110,-0.15286724826489695,0.453320426713716,-0.33721676601490697,5
A1_sl1.5_trailON_exp2,9,1234,-0.5642684186354445,0.5790813543003983,-0.9744199402122874,7
A1_sl1.5_trailON_exp2,10,1149,-0.49706501206253983,0.559270747601045,-0.8887734861776115,5
A1_sl1.5_trailON_exp2,11,1156,-0.5245835713691199,0.5460534670096158,-0.9606816970541865,5
A1_sl1.5_trailON_expunl,2,1505,-0.7195851442554471,0.8246968354967609,-0.8725450532643317,24
A1_sl1.5_trailON_expunl,3,1417,-0.8493243659146835,0.8775943628330872,-0.9677869433582716,22
A1_sl1.5_trailON_expunl,4,1331,-0.5900697555960833,0.6249766657874201,-0.9441468584313354,13
A1_sl1.5_trailON_expunl,5,1624,-0.8686084574254695,0.8837537760130825,-0.9828625132942134,25
A1_sl1.5_trailON_expunl,6,1474,-0.561197109231794,0.5771112487443022,-0.9724244856652253,17
A1_sl1.5_trailON_expunl,7,1564,0.15308237429244387,0.29424418659126467,0.5202562404574911,16
A1_sl1.5_trailON_expunl,8,1408,-0.0636614996119288,0.43851175073815923,-0.1451762683776788,11
A1_sl1.5_trailON_expunl,9,1578,-0.5801223212256441,0.5998813757561497,-0.9670617303202664,17
A1_sl1.5_trailON_expunl,10,1519,-0.6198118053500835,0.7045826717803274,-0.8796864160510132,12
A1_sl1.5_trailON_expunl,11,1490,-0.4963753373694535,0.5400820793352997,-0.9190738896213001,11
A1_sl1.5_trailOFF_exp2,2,236,-0.6143548453308317,0.7535519546219474,-0.8152786832582101,20
A1_sl1.5_trailOFF_exp2,3,133,0.13669254644605822,0.31298400824703904,0.43673971463157457,1
A1_sl1.5_trailOFF_exp2,4,144,-0.13101878428946678,0.5671308405830165,-0.2310203835058204,40
A1_sl1.5_trailOFF_exp2,5,80,-0.598438683564114,0.6608799725439934,-0.9055179585189762,3
A1_sl1.5_trailOFF_exp2,6,222,-0.7072239741439558,0.7167392359771304,-0.9867242347627272,6
A1_sl1.5_trailOFF_exp2,7,132,-0.1485383018755615,0.34247398548769925,-0.43372141584428925,9
A1_sl1.5_trailOFF_exp2,8,82,0.3494517520521476,0.24865329327675284,1.405377533701938,2
A1_sl1.5_trailOFF_exp2,9,140,-0.668249368273183,0.7415032891158092,-0.9012089063961182,16
A1_sl1.5_trailOFF_exp2,10,153,-0.6129520576022749,0.6579079132067103,-0.9316684680302507,11
A1_sl1.5_trailOFF_exp2,11,110,-0.18559393850840555,0.5758003313708145,-0.3223234312258208,21
A1_sl1.5_trailOFF_expunl,2,613,-0.9479872940283665,0.9575348783624157,-0.9900289957579639,103
A1_sl1.5_trailOFF_expunl,3,365,0.23949974801773566,0.6212057137811601,0.3855401563516643,28
A1_sl1.5_trailOFF_expunl,4,433,0.3375593378943129,0.46036248504368404,0.7332468410458809,33
A1_sl1.5_trailOFF_expunl,5,496,-0.8334611165216728,0.8434265004339,-0.9881846445338147,33
A1_sl1.5_trailOFF_expunl,6,405,-0.9014902821134085,0.949181428538007,-0.9497554998541684,22
A1_sl1.5_trailOFF_expunl,7,641,-0.43602888914080196,0.6024634816187726,-0.7237432681715847,30
A1_sl1.5_trailOFF_expunl,8,323,0.04292726594708984,0.39550540053112077,0.10853774914184026,15
A1_sl1.5_trailOFF_expunl,9,453,-0.9712191156349369,0.97808343714414,-0.9929818650960434,42
A1_sl1.5_trailOFF_expunl,10,612,-0.9711682795453594,0.9713040430297237,-0.9998602255541521,57
A1_sl1.5_trailOFF_expunl,11,316,-0.46691103864265526,0.7434841443138424,-0.6280040296939554,54
A1_sl2.0_trailON_exp2,2,888,-0.4224050872701076,0.571912932189423,-0.7385828567524034,2
A1_sl2.0_trailON_exp2,3,841,-0.6333056467122293,0.6833806388637849,-0.9267245963613893,0
A1_sl2.0_trailON_exp2,4,821,-0.2877331498643012,0.40260995128601806,-0.7146697416326223,1
A1_sl2.0_trailON_exp2,5,967,-0.6121660513864704,0.6439609702698852,-0.9506260156262428,2
A1_sl2.0_trailON_exp2,6,892,-0.35561686115861246,0.36927525894802005,-0.963012962665527,1
A1_sl2.0_trailON_exp2,7,902,0.1386104204505343,0.23416788731074792,0.5919275355915649,2
A1_sl2.0_trailON_exp2,8,880,0.14997466700763096,0.29279862771733745,0.5122109627932199,0
A1_sl2.0_trailON_exp2,9,993,-0.4080110758485762,0.42139976666671936,-0.9682280535557768,3
A1_sl2.0_trailON_exp2,10,924,-0.39432795890581807,0.47111341470967205,-0.8370128011507086,3
A1_sl2.0_trailON_exp2,11,911,-0.33096066093469856,0.350325921686617,-0.9447221585582765,0
A1_sl2.0_trailON_expunl,2,1225,-0.5370810797134777,0.7118765602799294,-0.754458159856089,12
A1_sl2.0_trailON_expunl,3,1115,-0.6807068897505029,0.7390966142448072,-0.920998522562621,9
A1_sl2.0_trailON_expunl,4,1064,-0.2835477111866279,0.4096856519828844,-0.6921104261627249,7
A1_sl2.0_trailON_expunl,5,1298,-0.6926771129638725,0.7304678530162609,-0.9482650196085396,8
A1_sl2.0_trailON_expunl,6,1224,-0.3906388633850647,0.40872214007607466,-0.9557565521465411,6
A1_sl2.0_trailON_expunl,7,1298,0.34266532394199145,0.24429828173463022,1.4026513879218059,5
A1_sl2.0_trailON_expunl,8,1169,0.10602323241343048,0.35166326446817386,0.3014907814547282,5
A1_sl2.0_trailON_expunl,9,1303,-0.3957266413546703,0.421079473471148,-0.939790862025444,11
A1_sl2.0_trailON_expunl,10,1245,-0.5266298475205129,0.5877531620085265,-0.8960051286170251,6
A1_sl2.0_trailON_expunl,11,1215,-0.3421293598044598,0.4323631461151325,-0.7913009304297998,7
A1_sl2.0_trailOFF_exp2,2,175,-0.5152390443229203,0.6398270956630581,-0.805278563248363,15
A1_sl2.0_trailOFF_exp2,3,97,0.03976219957106997,0.38463922759498165,0.10337531046869422,1
A1_sl2.0_trailOFF_exp2,4,82,0.2671120116032897,0.33692621929021227,0.7927908138642427,5
A1_sl2.0_trailOFF_exp2,5,49,-0.4808924943106494,0.540525891041598,-0.889675226072826,4
A1_sl2.0_trailOFF_exp2,6,100,-0.47079739476419424,0.5864891321368032,-0.8027384805050012,4
A1_sl2.0_trailOFF_exp2,7,89,-0.05178456512902929,0.2987743988832687,-0.17332330120179257,6
A1_sl2.0_trailOFF_exp2,8,43,0.3945702293475051,0.15856370193966937,2.4884019767502146,0
A1_sl2.0_trailOFF_exp2,9,111,-0.5530853071323398,0.5965501279000864,-0.9271397008651278,3
A1_sl2.0_trailOFF_exp2,10,202,-0.696757750967069,0.6970436248055115,-0.9995898766902541,5
A1_sl2.0_trailOFF_exp2,11,93,-0.34664027282614573,0.6721616454615862,-0.5157096885349673,24
A1_sl2.0_trailOFF_expunl,2,458,-0.8956340902689048,0.909795298922483,-0.9844347309000717,80
A1_sl2.0_trailOFF_expunl,3,224,0.34474782243494695,0.5744964426030125,0.600086957671858,20
A1_sl2.0_trailOFF_expunl,4,311,0.30141606822645506,0.4197867913809252,0.7180218015791319,27
A1_sl2.0_trailOFF_expunl,5,341,-0.7378490886660932,0.7613387469524833,-0.9691469028991163,22
A1_sl2.0_trailOFF_expunl,6,295,-0.8256067566174891,0.9003212882188125,-0.917013478878037,13
A1_sl2.0_trailOFF_expunl,7,492,-0.46481509481707883,0.5922390996081855,-0.7848436469739872,23
A1_sl2.0_trailOFF_expunl,8,239,0.23250035302099126,0.405759605507253,0.57300024414785,13
