config_id,arch,triage_folds,worst_triage_ratio,worst_triage_dd_base,worst_triage_dd_at_040,dropped_dd,f1_roi,f6_roi,f8_roi,f1_dd,f6_dd,f8_dd,f1_n,f6_n,f8_n
A1::A1::sl3.0::sl_only::exp2,A1,1+6+8,-0.7270594679383791,0.30417949494769025,0.24334359595815222,True,-0.22115658175443254,-0.18357844008632407,0.03833531877885488,0.30417949494769025,0.2683691284428652,0.07703196704366204,67.0,26,15
A1::A1::sl2.5::sl_only::exp2,A1,1+6+8,-0.7729376315807306,0.3502512806981947,0.2802010245585558,True,-0.2550546868678034,-0.19731332866630902,0.02762879565603371,0.3299809408246723,0.3502512806981947,0.10619933462527179,69.0,29,24
A1::A1::sl2.5::sl_only::expU,A1,1+6+8,-0.8905963749958962,0.7688352875984952,0.6150682300787962,True,-0.6222544491476686,-0.580973148211371,0.33903963110045,0.7688352875984952,0.652341694310229,0.19195228401452635,245.0,110,73
A1::A1::sl2.5::sl_plus_tp_2r::exp2,A1,1+6+8,-0.9108738003879768,0.3325833931059651,0.2660667144847721,True,-0.30294149922435887,-0.0961463187338043,0.10677959112863733,0.3325833931059651,0.13481020622830622,0.12378038303072553,277.0,253,265
A1::A1::sl3.5::sl_only::exp2,A1,1+6+8,-0.9161799832563668,0.27285001460281433,0.21828001168225147,True,-0.23351120193473962,-0.14684110529051464,0.010776275533721735,0.25487481303048526,0.27285001460281433,0.08839633288760639,57.0,18,20
A1::A1::sl3.0::sl_only::expU,A1,1+6+8,-0.9235650394962573,0.6996376760370886,0.5597101408296709,True,-0.5639496239474722,-0.5414175952873315,0.2835584488377303,0.6996376760370886,0.5862257362866814,0.14523472304971366,211.0,93,54
A1::A1::sl3.5::sl_only::expU,A1,1+6+8,-0.9330101807048108,0.6444742633817689,0.5155794107054151,True,-0.5256206848016781,-0.4909698869820225,0.30054960068146475,0.6444742633817689,0.5262213608549652,0.12305275366885658,186.0,77,38
A1::A1::sl3.5::sl_partial_close_1r_runner_trail::exp2,A1,1+6+8,-0.9341311410574689,0.23453102526895556,0.18762482021516447,True,-0.2190827342478675,-0.0561579595895253,0.08298634924703197,0.23453102526895556,0.1035861149204667,0.052012187394164626,195.0,155,171
A1::A1::sl3.0::sl_partial_close_1r_runner_trail::exp2,A1,1+6+8,-0.9425634306885767,0.30730962941699785,0.2458477035335983,True,-0.28965881858692066,-0.15120162549165972,-0.013233143688192395,0.30730962941699785,0.1704355113119302,0.07861012593585404,240.0,224,232
A1::A1::sl3.5::sl_plus_tp_2r::exp2,A1,1+6+8,-0.9430211832553423,0.2037208975756644,0.16297671806053152,True,-0.19211312188564345,-0.07007342382658888,-0.07467332049706821,0.2037208975756644,0.08806350361994268,0.13293983090277942,159.0,133,151
A1::A1::sl3.0::sl_plus_tp_2r::expU,A1,1+6+8,-0.9501974647367548,0.5070667086770175,0.405653366941614,True,-0.4818135010373127,-0.020321691821528653,-0.032424612938806385,0.5070667086770175,0.16209363207836142,0.19313661575422097,531.0,503,555
A1::A1::sl3.5::sl_partial_close_1r_runner_trail::expU,A1,1+6+8,-0.9517057264257021,0.5334523286971636,0.42676186295773094,True,-0.5076896359962165,-0.13230032554286386,0.049170894284921385,0.5334523286971636,0.1988168640396593,0.18685998891487737,522.0,449,529
