cluster_id,fold_id,n_trades,roi_pct,max_dd_pct,roi_dd_ratio
0,2,4,0.006936349739386394,0.11601247009777622,0.05978969100080693
0,3,0,0.10847206383255714,0.10546937880960072,1.0284697327020105
0,4,2,0.253916799819776,0.0677459066476851,3.748075896899262
0,5,0,-0.15877779707294948,0.30210405883410146,-0.5255732004585258
0,6,1,-0.07309998472033064,0.22741287394718138,-0.3214417172235761
0,7,5,0.09273486935554276,0.061551689453457986,1.5066177740850442
0,8,3,0.12022639047336359,0.07327460012469394,1.6407648799006769
0,9,3,-0.11024577040454275,0.19305990571419612,-0.5710443605403467
0,10,10,-0.05127886566453099,0.10297706526485123,-0.49796394500702296
0,11,3,0.042437503433598645,0.19769556046271602,0.21466088228927152
1,2,26,-0.13618008881628718,0.16252576188845771,-0.8378984798099165
1,3,34,-0.10832403777457777,0.12383136040963404,-0.8747706349687345
1,4,26,-0.03280406719581985,0.10734696129172204,-0.3055891550266874
1,5,14,-0.1289350855433531,0.1348567075256286,-0.956089525757181
1,6,27,-0.18380337280849524,0.18380337280849518,-1.0000000000000002
1,7,29,-0.12766924436793725,0.14275881849287292,-0.8943002310873777
1,8,22,-0.057365873464228834,0.08875116470657024,-0.646367556458468
1,9,41,-0.22805625514897154,0.2575313288620246,-0.8855476192224959
1,10,36,-0.19661464426988118,0.19661464426988115,-1.0000000000000002
1,11,13,-0.022142972038649122,0.13045639736489345,-0.1697346583679914
