cluster_id,archetype,sl_multiplier,exit_policy,exposure,max_per_currency,architecture,search_worst_roi,search_worst_dd,search_worst_ratio,search_mean_roi,search_mean_dd,search_mean_ratio,search_sign_consistency,search_neg_folds,search_n_total,a3_n_bars
0,v_shape_recovery,3.5,sl_only,max_per_currency_2,2.0,A3,-0.22326592145586943,0.21503266452000683,-1.041586627324126,-0.09680081335586427,0.13415084971000552,-0.5861015273108777,1,7,535,5.0
0,v_shape_recovery,4.0,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.18093922336968438,0.1735555404873504,-1.0425436310566654,-0.06525620669081879,0.09981670353980016,-0.37029309642908664,2,6,535,5.0
0,v_shape_recovery,3.5,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.18529752907623942,0.17694300001239155,-1.0479847753227987,-0.05893591600360881,0.09647566815638506,-0.20383951039896758,2,6,535,5.0
0,v_shape_recovery,3.5,sl_plus_tp_3r,unlimited,,A3,-0.20594106172952742,0.20581341594297642,-1.0500568127394136,-0.0684693150429089,0.11649036669005924,-0.10494126858078948,3,5,778,5.0
0,v_shape_recovery,3.5,sl_plus_tp_2r,unlimited,,A3,-0.16285835838583607,0.15485545895530345,-1.0516798018263116,-0.03016614721855629,0.08535206880827607,0.1917995506404946,2,6,778,5.0
0,v_shape_recovery,4.0,sl_plus_tp_2r,max_per_currency_2,2.0,A3,-0.16993771774180633,0.17012103371814755,-1.075321888015148,-0.05403911720240957,0.08255778153214721,-0.40093937214850367,2,6,535,5.0
0,v_shape_recovery,4.0,sl_only,unlimited,,A1,-0.45446654165731026,0.42126995647980237,-1.078801216813332,-0.26244239154082744,0.30552336408921077,-0.7546859211835856,1,10,2059,
0,v_shape_recovery,3.5,sl_only,unlimited,,A1,-0.45398240696234216,0.4208021968686738,-1.0788498975066505,-0.23666881468162693,0.29806569576038683,-0.6553339836003503,2,9,2059,
0,v_shape_recovery,3.5,sl_plus_tp_3r,max_per_currency_2,2.0,A1,-0.17482011253295493,0.18124421620664574,-1.0874622138159913,-0.03307010964277424,0.097761932128665,0.009821429013809184,3,8,1054,
0,v_shape_recovery,3.5,sl_plus_tp_2r,max_per_currency_2,2.0,A3,-0.16638568832462453,0.15832651085505026,-1.0912784640787565,-0.02875796076587664,0.07345624102277706,0.11247643845999428,3,5,535,5.0
0,v_shape_recovery,4.0,sl_only,max_per_currency_2,2.0,A1,-0.23337391778070526,0.22525855449152452,-1.1098898824995729,-0.14682643260877198,0.17632835320934334,-0.7066696339721757,2,9,1054,
0,v_shape_recovery,3.5,sl_only,max_per_currency_2,2.0,A1,-0.23287782734852913,0.22476762471336478,-1.1112614883932892,-0.13286292879363681,0.17321211219217322,-0.6055564673944146,2,9,1054,
0,v_shape_recovery,4.0,sl_plus_tp_3r,max_per_currency_2,2.0,A1,-0.16455326065953313,0.15247986930481477,-1.125384945784815,-0.04578117324109505,0.10290190575746044,-0.14778429832621687,3,8,1054,
0,v_shape_recovery,4.0,sl_only,unlimited,,A3,-0.41190376548760543,0.40629267642169026,-3.178962882125105,-0.1901371734316645,0.19486410921962122,-1.0385633259611464,0,10,1066,3.0
0,v_shape_recovery,4.0,sl_only,max_per_currency_2,2.0,A3,-0.2646964265357993,0.2562687681678824,-3.178962882125105,-0.12680161777202956,0.12422645180459264,-1.0715456775658267,0,10,600,3.0
0,v_shape_recovery,4.0,sl_plus_tp_3r,max_per_currency_2,2.0,A3,-0.1278337858762274,0.14871637316588807,-3.178962882125105,-0.05364402321043862,0.06678075927252694,-0.41942530300280384,1,9,600,3.0
0,v_shape_recovery,4.0,sl_plus_tp_3r,unlimited,,A3,-0.22159072129461277,0.25561503337296987,-3.178962882125105,-0.07623375436729035,0.1205071897517885,-0.28779898914551005,2,8,1066,3.0
0,v_shape_recovery,3.5,sl_only,max_per_currency_2,2.0,A3,-0.2672342456962944,0.2587824704287809,-3.203120786565907,-0.12160464901006263,0.12221679249172594,-1.0332521735285147,0,10,600,3.0
0,v_shape_recovery,3.5,sl_only,unlimited,,A3,-0.4054930021804515,0.40117112853082926,-3.203120786565907,-0.17982795809522253,0.19238955909891745,-0.9820674505356045,0,10,1066,3.0
