cluster_id,classifier,fold,auc,threshold_auc_best,precision_at_threshold,recall_at_threshold,n_admit_at_threshold
0,lgbm,1,0.5601393525910873,0.09688428051037332,0.24305555555555555,0.42168674698795183,144
0,lgbm,2,0.45844449004719884,0.022943522761664725,0.1162079510703364,0.6909090909090909,327
0,lgbm,3,0.4616057838660579,0.29939155071788154,0.375,0.1,16
0,lgbm,4,0.5033039195567413,0.03326893711507254,0.12359550561797752,0.6,267
0,lgbm,5,0.46501128668171554,0.14860009326341578,0.16129032258064516,0.18181818181818182,62
0,lr,1,0.5460879663231238,0.10055099296036052,0.20168067226890757,0.5783132530120482,238
0,lr,2,0.5003899035501744,0.16778256124418142,0.1415929203539823,0.2909090909090909,113
0,lr,3,0.4174657534246576,0.05077836213687659,0.12343096234309624,0.9833333333333333,478
0,lr,4,0.4602914016006566,0.0932133491934071,0.11352657004830918,0.8545454545454545,414
0,lr,5,0.5767289144264314,0.10796941511677778,0.12658227848101267,0.9090909090909091,395
0,rf,1,0.5196400058063579,0.14736767889536703,0.3235294117647059,0.13253012048192772,34
0,rf,2,0.5030576646829469,0.13175436742505292,0.12601626016260162,0.5636363636363636,246
0,rf,3,0.41510654490106547,0.18146360378838775,0.18181818181818182,0.03333333333333333,11
0,rf,4,0.5374923045351939,0.12878088658375214,0.1513157894736842,0.41818181818181815,152
0,rf,5,0.5432382515903961,0.13370627102875207,0.16964285714285715,0.34545454545454546,112
1,lgbm,1,0.5142328601630927,0.41809680598785837,0.35714285714285715,0.42207792207792205,182
1,lgbm,2,0.48809090120565524,0.3121974282765346,0.38427947598253276,0.4808743169398907,229
1,lgbm,3,0.5606697606697606,0.3157963658090138,0.3803921568627451,0.5878787878787879,255
1,lgbm,4,0.5295397634055782,0.28994404033426974,0.41743119266055045,0.4918918918918919,218
1,lgbm,5,0.5494891443167305,0.321348666498886,0.4144144144144144,0.5287356321839081,222
1,lr,1,0.4085623678646934,0.21097388740538786,0.3159041394335512,0.9415584415584416,459
1,lr,2,0.49083181542197934,0.25700089313753344,0.3866995073891626,0.8579234972677595,406
1,lr,3,0.5408317408317409,0.43553088320375294,0.4224137931034483,0.296969696969697,116
1,lr,4,0.5619376565063466,0.3515599893297799,0.4166666666666667,0.6216216216216216,276
1,lr,5,0.5189087554987939,0.3341652154184089,0.37542662116040953,0.632183908045977,293
1,rf,1,0.45373376623376627,0.3366470684903245,0.3130434782608696,0.7012987012987013,345
1,rf,2,0.5340966258999046,0.33057205222809094,0.3961038961038961,0.6666666666666666,308
1,rf,3,0.5637637637637638,0.3835733946227801,0.4189189189189189,0.37575757575757573,148
1,rf,4,0.5553924531560315,0.3098381329873491,0.40974212034383956,0.772972972972973,349
1,rf,5,0.5208599404001704,0.37182387100388403,0.4,0.367816091954023,160
