percentile,fwd_mfe_h240_R
1,0.1008167564868927
5,0.32448418736457824
10,0.5662355065345764
20,1.1730093240737915
30,1.8084635496139527
40,2.4981192111968995
50,3.2262179851531982
60,4.156287956237793
70,5.125887775421142
80,6.245064926147461
90,8.258108711242675
95,10.4779239654541
99,15.586125373840346
