fold,date,n_trades,equity_start_of_day,intraday_peak,intraday_trough,intraday_running_peak_to_trough_dd_pct,day_start_to_low_dd_pct,day_dd_pct,net_day_pnl_dollars,trade_ids_in_day
2,2021-10-27,1,18423.36147,18423.36147,17947.84193,2.581068265,2.581068265,2.581068265,-475.5195362,471
2,2021-07-08,1,10000,10000,9744.094282,2.559057183,2.559057183,2.559057183,-255.9057183,342
2,2021-11-08,1,18210.59296,18210.59296,17746.58269,2.548023957,2.548023957,2.548023957,-464.0102714,490
2,2021-12-14,1,19779.70232,19779.70232,19276.18444,2.545629198,2.545629198,2.545629198,-503.5178775,544
2,2022-03-23,1,32177.56555,32177.56555,31358.60618,2.545125348,2.545125348,2.545125348,-818.9593771,651
2,2021-12-06,1,19256.57101,19256.57101,18767.52888,2.539611708,2.539611708,2.539611708,-489.0421318,533
2,2021-08-10,1,11040.58275,11040.58275,10761.96322,2.523594407,2.523594407,2.523594407,-278.6195289,374
2,2022-02-24,1,28260.3748,28260.3748,27547.73524,2.521691823,2.521691823,2.521691823,-712.6395604,605
2,2022-03-18,1,33008.32619,33008.32619,32177.56555,2.51682146,2.51682146,2.51682146,-830.7606371,644
2,2022-03-02,1,27547.73524,27547.73524,26856.53539,2.509098667,2.509098667,2.509098667,-691.1998579,624
2,2022-02-04,2,25247.99475,25708.33645,25247.99475,0.03942757393,0,0.03942757393,450.2055337,"589,590"
2,2021-08-24,1,11839.8197,11901.12054,11839.8197,0,0,0,61.30084047,415
2,2021-08-17,1,11176.59496,11839.8197,11176.59496,0,0,0,663.2247348,402
2,2021-08-13,1,10761.96322,11176.59496,10761.96322,0,0,0,414.6317383,391
2,2021-07-29,1,10562.25534,11040.58275,10562.25534,0,0,0,478.327411,375
2,2021-07-21,1,9958.87451,10562.25534,9958.87451,0,0,0,603.3808321,363
2,2021-07-15,1,9910.555712,9958.87451,9910.555712,0,0,0,48.31879837,351
2,2021-07-13,1,9744.094282,9910.555712,9744.094282,0,0,0,166.46143,350
2,2021-08-26,1,11901.12054,12432.9563,11901.12054,0,0,0,531.8357658,412
2,2021-10-21,1,17441.60714,18423.36147,17441.60714,0,0,0,981.754329,460
2,2021-09-28,1,16362.54359,17287.35738,16362.54359,0,0,0,924.8137936,444
2,2021-10-06,1,17287.35738,17441.60714,17287.35738,0,0,0,154.2497542,452
2,2021-08-27,1,12432.9563,12908.70668,12432.9563,0,0,0,475.7503786,411
2,2021-08-31,1,12908.70668,13247.6602,12908.70668,0,0,0,338.9535138,417
