fold,oos_start,oos_end,n_trades,fold_roi_pct,annualised_roi_pct,max_dd_pct,worst_day_dd_pct,ending_equity,final_r_sign_positive
1,2020-10-01,2021-07-01,0,0,0,0,0,10000,0
2,2021-07-01,2022-04-01,50,223.144056,377.5732246,4.997890547,2.581068265,32314.4056,1
3,2022-04-01,2023-01-01,24,40.38147083,56.91128628,2.51916525,2.51916525,14038.14708,1
4,2023-01-01,2023-10-01,32,76.41319701,113.7159321,4.012735452,2.529647543,17641.3197,1
5,2023-10-01,2024-07-01,39,78.37570587,116.2906933,6.232205464,2.614572232,17837.57059,1
6,2024-07-01,2025-04-01,44,135.9284022,213.998032,5.037325019,4.977594043,23592.84022,1
7,2025-04-01,2026-01-01,47,158.9040528,253.7720412,3.582574393,2.58338923,25890.40528,1
