group,metric,n,p10,p25,p50,p75,p90,p95,max,mean
ALL_winners,prepeak_dip,1638,0.3203910159833325,0.7266246011762545,1.5478794911043958,2.673683814685597,3.438680203484095,5.089528377809565,25.292504763987328,1.990911061694361
ALL_winners,first_bar_low,1638,0.09948809352114757,0.20449321165022022,0.38683716603845664,0.6426543074643438,0.969940981313773,1.2528439624532086,2.6333062464744614,0.477221508676573
ALL_trades,prepeak_dip,3301,0.412722335526304,0.9157073069646954,2.2167743763416103,4.509221756009044,7.6205803108204275,9.844893960359913,25.874594856015836,3.2962654715210697
ALL_trades,first_bar_low,3301,0.11330533988206523,0.2359809422604298,0.4360222175010513,0.739014141603204,1.127626287498755,1.530608971346052,8.093001126862362,0.5612985471842428
