cluster_id,n,size_fraction,mono_centroid,local_peaks_centroid,pullback_centroid,ttp_rel_centroid
0,120,0.09316770186,0.5112453192,9.6,1.163109923,0.6241122904
1,349,0.2709627329,0.01162980604,0.5902578797,0.008432987386,0.07858309675
2,350,0.2717391304,0.4942113901,9.614285714,0.509026484,0.507342858
3,178,0.1381987578,0.5376877224,33.87078652,0.5656098289,0.7362192724
4,291,0.225931677,0.5673149692,3.29209622,0.08824538341,0.2566250441
