K,silhouette,min_cluster_size,max_cluster_pct,gate_pass,gate_detail
3,0.409148765,375,39.98447205,PASS,PASS
4,0.4262963821,185,29.89130435,PASS,PASS
5,0.4166750963,120,27.17391304,PASS,PASS
6,0.4241862741,67,26.39751553,PASS,PASS
7,0.4123139277,67,26.31987578,PASS,PASS
