fold,oos_start,oos_end,n_oos_signals,n_train,n_train_pos,n_admitted,n_admitted_cluster0_true_pos,admit_rate,n_trades,final_r_mean,final_r_sign_positive,fold_roi_pct,annualised_roi_pct,max_dd_pct,ending_equity,note
1,2020-10-01,2021-07-01,336,0,0,0,0,0,0,,0,0,0,0,10000,no training data (anchored expanding under KH-24 fold dates; Arc 9 data starts at fold 1 OOS_start)
2,2021-07-01,2022-04-01,324,336,48,111,34,0.3425925926,111,0.5934017532,1,38.52252156,54.40124926,2.525942791,13852.25216,
3,2022-04-01,2023-01-01,335,660,95,81,25,0.2417910448,81,0.520772599,1,23.20931612,31.94444512,3.21965077,12320.93161,
4,2023-01-01,2023-10-01,297,995,145,74,26,0.2491582492,74,0.3827607908,1,15.08159791,20.67588956,2.001113685,11508.15979,
5,2023-10-01,2024-07-01,277,1292,197,96,41,0.3465703971,96,0.5115908679,1,27.58744652,38.37100044,1.591352592,12758.74465,
6,2024-07-01,2025-04-01,295,1569,267,103,29,0.3491525424,103,0.3365398879,1,18.64310874,25.59358109,6.801795127,11864.31087,
7,2025-04-01,2026-01-01,289,1864,312,134,39,0.4636678201,134,0.4278907374,1,32.7996554,45.75650514,2.318541676,13279.96554,
