cluster_id,feature,perm_importance_mean,perm_importance_std
2,swing_low_distance_14,0.02307361796723504,0.003083201593373456
2,prior_session_low_distance,0.019336186144696833,0.001076787251786615
2,atr_vs_trailing_100,0.018498664456111324,0.004281536932847567
2,kijun_26_distance,0.01813593919976899,0.0031622530692915966
2,dollar_bloc_state,0.017846575506149966,0.0006819538057818905
2,atr_percentile_100,0.016023116235882217,0.0034380136635900776
2,spread_vs_trailing_100,0.015205808184531633,0.0013207447180287033
2,spread_percentile_100,0.014158308626393779,0.000874050252197607
2,usd_strength_index,0.013906783268485445,0.000986317295934695
2,distance_to_round_number,0.013633326612050033,0.00035474225485676846
2,eur_strength_index,0.013181581692220012,0.0009309580057668209
2,prior_session_high_distance,0.013181432330368548,0.0009628757333322316
2,swing_high_distance_14,0.012434971583907805,0.000666329129174424
2,atr_14,0.011667176986325956,0.001563426656086365
2,signal_density_28,0.01063160148266531,0.0009068591027229958
2,range_close_ratio,0.01059582931923364,0.0007291897047614068
2,day_of_week,0.007859794030006851,0.0007625229842763398
2,hour_of_day,0.003825256591214088,0.00047182434222539687
2,session_ny,0.001440420802122966,0.0001769398775885277
2,session_dead,0.0009962186557931573,0.0003504855879140702
2,session_london,0.00094762626677527,9.81171646030621e-05
2,session_tokyo,0.0005163190269573681,7.68173744393496e-05
2,session_ldn_ny_overlap,0.0003233435148328967,5.961730482394735e-05
