trade_id,pair,signal_bar_time,native_prob,onnx_prob,abs_diff,native_admit,onnx_admit
64,CHF_JPY,2020-11-02 08:00:00,0.98047282,0.9849632382,0.004490418228,1,1
65,AUD_NZD,2020-11-04 12:00:00,0.0006251356111,0.0006250739098,6.170134962e-08,0,0
66,AUD_USD,2020-11-04 12:00:00,0.9712901504,0.9712901115,3.885399791e-08,1,1
67,AUD_CAD,2020-11-05 08:00:00,0.9634044233,0.962315619,0.001088804321,1,1
68,EUR_CAD,2020-11-05 08:00:00,0.007441478954,0.007209539413,0.000231939541,0,0
69,EUR_CHF,2020-11-05 08:00:00,0.1068571357,0.1219228506,0.01506571496,0,0
70,GBP_JPY,2020-11-05 08:00:00,0.9749121723,0.9749690294,5.685714544e-05,1,1
71,GBP_NZD,2020-11-05 20:00:00,0.003188678499,0.003188669682,8.816960536e-09,0,0
72,EUR_GBP,2020-11-06 08:00:00,0.007927371202,0.009347915649,0.001420544448,0,0
73,EUR_USD,2020-11-06 08:00:00,0.02704056755,0.03984284401,0.01280227646,0,0
74,NZD_USD,2020-11-09 00:00:00,0.971120084,0.9711200595,2.446566261e-08,1,1
75,AUD_JPY,2020-11-09 12:00:00,0.06309850841,0.06309854984,4.142927086e-08,0,0
76,USD_CHF,2020-11-11 08:00:00,0.003745512228,0.00573182106,0.001986308833,0,0
77,USD_JPY,2020-11-11 08:00:00,0.03670437094,0.04843312502,0.01172875408,0,0
78,EUR_CAD,2020-11-12 04:00:00,0.9805954259,0.9805954695,4.359532546e-08,1,1
79,USD_CAD,2020-11-12 04:00:00,0.09241812802,0.092418015,1.130204228e-07,0,0
80,AUD_NZD,2020-11-13 00:00:00,0.01327631526,0.01327627897,3.628712206e-08,0,0
81,GBP_CAD,2020-11-13 00:00:00,0.003813998454,0.003814041615,4.316005916e-08,0,0
82,EUR_USD,2020-11-13 20:00:00,0.9683036542,0.9683036208,3.338102239e-08,1,1
83,NZD_CAD,2020-11-16 00:00:00,0.9697871855,0.96978724,5.450072182e-08,1,1
84,NZD_JPY,2020-11-16 20:00:00,0.03428983022,0.03428977728,5.293831429e-08,0,0
85,EUR_AUD,2020-11-17 00:00:00,0.01796041488,0.0179604888,7.391341887e-08,0,0
86,EUR_NZD,2020-11-17 08:00:00,0.002223701067,0.002188146114,3.555495217e-05,0,0
87,GBP_NZD,2020-11-17 08:00:00,0.01055728591,0.01177036762,0.001213081715,0,0
88,AUD_JPY,2020-11-18 08:00:00,0.0004214669151,0.0009738206863,0.0005523537712,0,0
89,GBP_AUD,2020-11-19 08:00:00,0.1133656501,0.12419945,0.0108337999,0,0
90,NZD_JPY,2020-11-20 12:00:00,0.9747481429,0.9747481942,5.133368364e-08,1,1
91,USD_JPY,2020-11-23 08:00:00,0.01179904759,0.01372826099,0.001929213406,0,0
92,EUR_NZD,2020-11-23 16:00:00,0.005473400063,0.005473434925,3.486257232e-08,0,0
93,AUD_JPY,2020-11-24 16:00:00,0.9718348202,0.9718348384,1.820082152e-08,1,1
94,AUD_NZD,2020-11-24 16:00:00,0.003606583016,0.003606617451,3.443488084e-08,0,0
95,EUR_GBP,2020-11-25 00:00:00,0.08746035908,0.08746027946,7.961502579e-08,0,0
96,USD_CHF,2020-11-25 08:00:00,0.01955721725,0.02114355564,0.001586338391,0,0
97,USD_CAD,2020-11-27 00:00:00,0.02686137017,0.02686142921,5.904769585e-08,0,0
98,EUR_NZD,2020-11-30 04:00:00,0.04726483277,0.04726487398,4.120964837e-08,0,0
99,AUD_NZD,2020-12-03 04:00:00,0.9190145551,0.9190145731,1.802827831e-08,1,1
100,USD_CAD,2020-12-03 08:00:00,0.004847517129,0.005502641201,0.0006551240716,0,0
101,USD_CHF,2020-12-04 08:00:00,0.01669605497,0.01970440149,0.003008346518,0,0
102,GBP_NZD,2020-12-07 16:00:00,0.02574695431,0.02574694157,1.274543676e-08,0,0
103,EUR_AUD,2020-12-14 00:00:00,0.02561185135,0.02561193705,8.569236746e-08,0,0
104,GBP_CAD,2020-12-14 08:00:00,0.04768004924,0.06291645765,0.01523640841,0,0
105,GBP_USD,2020-12-14 08:00:00,0.04179082692,0.04913520813,0.007344381207,0,0
106,GBP_AUD,2020-12-15 00:00:00,0.1865119819,0.186512053,7.108939223e-08,0,0
107,GBP_NZD,2020-12-15 00:00:00,0.1391424676,0.1391424537,1.391517079e-08,0,0
108,USD_CAD,2020-12-16 04:00:00,0.1095070934,0.1095070839,9.462292089e-09,0,0
109,GBP_CHF,2020-12-16 08:00:00,0.01352901473,0.01347851753,5.049719645e-05,0,0
110,USD_CHF,2020-12-16 16:00:00,0.006302478383,0.006302416325,6.205793105e-08,0,0
111,USD_JPY,2020-12-21 08:00:00,0.0007060972804,0.000706076622,2.065835856e-08,0,0
112,GBP_CHF,2020-12-21 16:00:00,0.9854708827,0.985470891,8.255221173e-09,1,1
113,GBP_CAD,2020-12-21 20:00:00,0.9756897398,0.9756897688,2.894136364e-08,1,1
114,GBP_USD,2020-12-23 00:00:00,0.9851381861,0.9851381779,8.267368456e-09,1,1
115,NZD_CHF,2020-12-29 00:00:00,0.9613720918,0.9613720775,1.431042029e-08,1,1
116,CAD_CHF,2020-12-30 08:00:00,0.9688635748,0.9686597586,0.0002038162463,1,1
117,AUD_CHF,2020-12-31 00:00:00,0.03991034078,0.03991043568,9.489227717e-08,0,0
118,USD_JPY,2020-12-31 16:00:00,0.004847337437,0.004847407341,6.990387815e-08,0,0
119,GBP_JPY,2021-01-05 16:00:00,0.9661828587,0.9661829472,8.847482746e-08,1,1
120,EUR_CHF,2021-01-06 08:00:00,0.006431992494,0.00732511282,0.0008931203253,0,0
121,CHF_JPY,2021-01-07 00:00:00,0.0615341002,0.06153410673,6.528460897e-09,0,0
