rule_id,feature,threshold,rule_str,pool_size_pre,pool_size_post,pool_kept_pct,retention_c0,retention_c1,retention_c2,retention_c3,c1_fraction_pre,c1_fraction_post,c1_lift,c2_kill_rate,aggregate_mean_r_unit,aggregate_hit_rate,floor_500_pass
F1,trigger_close_pos,0.5,trigger_close_pos >= 0.5,1327,1327,1.0,1.0,1.0,1.0,1.0,0.1333835719668425,0.1333835719668425,1.0,0.0,0.05346802472795918,0.31876412961567446,1
F1,trigger_close_pos,0.6,trigger_close_pos >= 0.6,1327,1247,0.9397136397889977,0.9430379746835443,0.9322033898305084,0.951048951048951,0.928395061728395,0.1333835719668425,0.132317562149158,0.9920079376945348,0.04895104895104896,0.0472964548359277,0.3143544506816359,1
F1,trigger_close_pos,0.7,trigger_close_pos >= 0.7,1327,1077,0.8116051243406179,0.810126582278481,0.7909604519774012,0.8298368298368298,0.8024691358024691,0.1333835719668425,0.12999071494893222,0.9745631567075314,0.17016317016317017,0.06014276890594416,0.31940575673166205,1
F1,trigger_close_pos,0.8,trigger_close_pos >= 0.8,1327,824,0.6209495101733233,0.6170886075949367,0.6101694915254238,0.6480186480186481,0.6,0.1333835719668425,0.13106796116504854,0.9826394602599967,0.35198135198135194,0.06309435722885537,0.3288834951456311,1
F1,trigger_close_pos,0.9,trigger_close_pos >= 0.9,1327,493,0.3715146948003014,0.3670886075949367,0.3389830508474576,0.38927738927738925,0.37037037037037035,0.1333835719668425,0.12170385395537525,0.9124351084677004,0.6107226107226107,-0.011920632482024652,0.31643002028397565,0
F2,pullback_depth_atr,0.5,pullback_depth_atr >= 0.5,1327,1327,1.0,1.0,1.0,1.0,1.0,0.1333835719668425,0.1333835719668425,1.0,0.0,0.05346802472795918,0.31876412961567446,1
F2,pullback_depth_atr,0.75,pullback_depth_atr >= 0.75,1327,1202,0.905802562170309,0.8829113924050633,0.9322033898305084,0.8997668997668997,0.9185185185185185,0.1333835719668425,0.13727121464226288,1.029146338024197,0.10023310023310028,0.07330167011637423,0.32196339434276205,1
F2,pullback_depth_atr,1.0,pullback_depth_atr >= 1.0,1327,1065,0.8025621703089676,0.7626582278481012,0.8305084745762712,0.7972027972027972,0.8271604938271605,0.1333835719668425,0.13802816901408452,1.034821357523673,0.2027972027972028,0.09057364243374352,0.3286384976525822,1
F2,pullback_depth_atr,1.25,pullback_depth_atr >= 1.25,1327,943,0.7106254709871892,0.6708860759493671,0.768361581920904,0.696969696969697,0.7308641975308642,0.1333835719668425,0.14422057264050903,1.0812468920562457,0.303030303030303,0.08555292273604119,0.3244962884411453,1
F2,pullback_depth_atr,1.5,pullback_depth_atr >= 1.5,1327,812,0.611906556141673,0.5822784810126582,0.6836158192090396,0.5874125874125874,0.6296296296296297,0.1333835719668425,0.14901477832512317,1.1171898917369403,0.4125874125874126,0.08653897592223751,0.32019704433497537,1
F3,trigger_body_atr,0.3,trigger_body_atr >= 0.3,1327,1173,0.8839487565938207,0.9113924050632911,0.8587570621468926,0.8764568764568764,0.8814814814814815,0.1333835719668425,0.12958226768968456,0.971500956068991,0.12354312354312358,0.030545758537887335,0.31202046035805625,1
F3,trigger_body_atr,0.5,trigger_body_atr >= 0.5,1327,890,0.6706857573474001,0.7183544303797469,0.655367231638418,0.6573426573426573,0.654320987654321,0.1333835719668425,0.1303370786516854,0.9771599060496413,0.3426573426573427,0.02453614112212005,0.31573033707865167,1
F3,trigger_body_atr,0.7,trigger_body_atr >= 0.7,1327,625,0.47098718914845517,0.5158227848101266,0.4689265536723164,0.49184149184149184,0.4148148148148148,0.1333835719668425,0.1328,0.9956248587570622,0.5081585081585082,0.037471779793874956,0.32,1
F3,trigger_body_atr,1.0,trigger_body_atr >= 1.0,1327,304,0.2290881688018086,0.2626582278481013,0.24293785310734464,0.2261072261072261,0.2,0.1333835719668425,0.14144736842105263,1.0604556943205472,0.7738927738927739,0.07610008376087779,0.3519736842105263,0
F4,trigger_break_size_atr,0.0,trigger_break_size_atr >= 0.0,1327,1327,1.0,1.0,1.0,1.0,1.0,0.1333835719668425,0.1333835719668425,1.0,0.0,0.05346802472795918,0.31876412961567446,1
F4,trigger_break_size_atr,0.25,trigger_break_size_atr >= 0.25,1327,739,0.5568952524491334,0.5506329113924051,0.5141242937853108,0.5734265734265734,0.562962962962963,0.1333835719668425,0.12313937753721245,0.9231974801801182,0.42657342657342656,0.019079052264343692,0.3234100135317997,1
F4,trigger_break_size_atr,0.5,trigger_break_size_atr >= 0.5,1327,385,0.2901281085154484,0.2848101265822785,0.2768361581920904,0.32867132867132864,0.25925925925925924,0.1333835719668425,0.12727272727272726,0.9541859270672829,0.6713286713286714,-0.02412770467672728,0.3116883116883117,0
F4,trigger_break_size_atr,0.75,trigger_break_size_atr >= 0.75,1327,190,0.14318010550113036,0.1360759493670886,0.14689265536723164,0.17016317016317017,0.11851851851851852,0.1333835719668425,0.1368421052631579,1.0259292298542968,0.8298368298368298,0.01265305499447369,0.3263157894736842,0
F4,trigger_break_size_atr,1.0,trigger_break_size_atr >= 1.0,1327,100,0.07535795026375283,0.0759493670886076,0.05084745762711865,0.09090909090909091,0.0691358024691358,0.1333835719668425,0.09,0.6747457627118644,0.9090909090909091,-0.04090129615495,0.34,0
F5,ret_5bar_atr,0.0,ret_5bar_atr >= 0.0,1327,770,0.5802562170308968,0.5822784810126582,0.5141242937853108,0.6107226107226107,0.5753086419753086,0.1333835719668425,0.11818181818181818,0.88602978941962,0.3892773892773893,0.004583953936171223,0.3168831168831169,1
F5,ret_5bar_atr,0.5,ret_5bar_atr >= 0.5,1327,503,0.3790504898266767,0.3670886075949367,0.3446327683615819,0.40792540792540793,0.3728395061728395,0.1333835719668425,0.12127236580516898,0.9092001662342329,0.592074592074592,0.01390807539195198,0.33001988071570576,1
F5,ret_5bar_atr,1.0,ret_5bar_atr >= 1.0,1327,251,0.18914845516201959,0.18670886075949367,0.1694915254237288,0.20512820512820512,0.18271604938271604,0.1333835719668425,0.11952191235059761,0.8960767101087177,0.7948717948717949,-0.04599916447292093,0.3147410358565737,0
F5,ret_5bar_atr,1.5,ret_5bar_atr >= 1.5,1327,105,0.07912584777694047,0.07911392405063292,0.06779661016949153,0.09090909090909091,0.07160493827160494,0.1333835719668425,0.11428571428571428,0.8568200161420501,0.9090909090909091,-0.18908588136514284,0.29523809523809524,0
F6,pos_in_20bar_range,0.4,pos_in_20bar_range >= 0.4,1327,1074,0.8093443858327054,0.7848101265822784,0.711864406779661,0.8531468531468531,0.8246913580246914,0.1333835719668425,0.11731843575418995,0.8795568601458196,0.14685314685314688,0.023282037395997997,0.3165735567970205,1
F6,pos_in_20bar_range,0.5,pos_in_20bar_range >= 0.5,1327,963,0.7256970610399397,0.689873417721519,0.6384180790960452,0.7668997668997669,0.7481481481481481,0.1333835719668425,0.11734164070612668,0.8797308317346334,0.2331002331002331,0.006209061716803588,0.3115264797507788,1
F6,pos_in_20bar_range,0.6,pos_in_20bar_range >= 0.6,1327,853,0.6428033157498116,0.6360759493670886,0.5480225988700564,0.6736596736596736,0.6567901234567901,0.1333835719668425,0.11371629542790153,0.8525509832363013,0.3263403263403264,-0.03031754500550997,0.30128956623681125,1
F6,pos_in_20bar_range,0.7,pos_in_20bar_range >= 0.7,1327,724,0.5455915599095704,0.5411392405063291,0.4519774011299435,0.5827505827505828,0.5506172839506173,0.1333835719668425,0.11049723756906077,0.8284171426787776,0.4172494172494172,-0.03898689366388123,0.30248618784530384,1
