risk_pct,governance,segment,fold,calendar_year,n_trades,roi_pct,raw_return_pct,trailing_dd_pct,from_initial_dd_pct,daily_dd_pct,kills,fires,roi_basis
0.4,off,search,F1,2010,201,24.58586553443871,22.16650969947178,8.013386590496125,3.0072212875356774,4.013873928568671,0,0,annualised_1y
0.4,off,search,F2,2011,182,28.24806293526294,27.703233945134453,7.834530562437466,2.520453877663842,3.5312456728401305,0,0,annualised_1y
0.4,off,search,F3,2012,179,31.627420146795448,31.371832707969148,4.002118781175004,0.16637168612165798,1.6662559909731693,0,0,annualised_1y
0.4,off,search,F4,2013,195,46.452485561746215,45.524804530437635,7.500896299741331,0.605818006031511,2.12842722924971,0,0,annualised_1y
0.4,off,search,F5,2014,192,32.26175023948683,31.529711028777395,6.149330523336748,5.519783722270799,2.508805871329889,0,0,annualised_1y
0.4,off,search,F6,2015,190,22.108009147973373,21.84675606838653,5.653262805833271,4.6868241500021774,3.0261485096192664,0,0,annualised_1y
0.4,off,search,F7,2016,171,31.7816256081205,31.39221289199292,5.603713654702328,2.3508677908701148,2.4764324782443494,0,0,annualised_1y
0.4,off,search,F8,2017,190,50.67009153653261,49.925089915213164,7.130117963737577,2.348603026021845,2.155390497412128,0,0,annualised_1y
0.4,off,search,F9,2018,176,14.406475667230033,14.339747258269453,5.309860363050375,0.7991671756866214,2.1789769403699086,0,0,annualised_1y
0.4,off,search,F10,2019,195,34.41304848619353,33.69845202031554,8.200114461992843,1.253975192162493,2.3907438236864134,0,0,annualised_1y
0.4,off,search,F11,2020,188,38.92128812772317,37.976343231828366,6.16028801972272,4.012555718639376,3.3078082226567287,0,0,annualised_1y
0.4,off,holdout,2021,2021,212,38.29397976660831,37.63064926868347,5.889778458563442,1.0444262381964053,2.5204847204534704,0,0,annualised_1y
0.4,off,holdout,2022,2022,179,24.268565135225906,23.80740312727081,7.092654920161519,1.6748171440714832,2.2522979898560136,0,0,annualised_1y
0.4,off,holdout,2023,2023,189,27.016622312584147,26.59457344786005,6.640865890500155,0.9002350222665711,1.986422193459113,0,0,annualised_1y
0.4,off,holdout,2024,2024,191,42.478086943654006,42.21364735125277,5.57903051758121,2.6202488790019407,2.4476008393876167,0,0,annualised_1y
0.4,off,holdout,2025,2025,251,51.89572666097118,50.12424914759321,5.819743382708185,3.5305740518305373,3.215713091964243,0,0,annualised_1y
0.4,off,holdout,2026p,2026,71,2.700438236021796,2.700438236021796,4.7048344923239,0.6107000315008326,1.9850336844414527,0,0,raw_partial_4mo
0.4,on,search,F1,2010,201,24.58586553443871,22.16650969947178,8.013386590496125,3.0072212875356774,4.013873928568671,0,1,annualised_1y
0.4,on,search,F2,2011,182,28.24806293526294,27.703233945134453,7.834530562437466,2.520453877663842,3.5312456728401305,0,1,annualised_1y
0.4,on,search,F3,2012,179,31.627420146795448,31.371832707969148,4.002118781175004,0.16637168612165798,1.6662559909731693,0,0,annualised_1y
0.4,on,search,F4,2013,195,46.452485561746215,45.524804530437635,7.500896299741331,0.605818006031511,2.12842722924971,0,0,annualised_1y
0.4,on,search,F5,2014,192,32.26175023948683,31.529711028777395,6.149330523336748,5.519783722270799,2.508805871329889,0,0,annualised_1y
0.4,on,search,F6,2015,190,22.108009147973373,21.84675606838653,5.653262805833271,4.6868241500021774,3.0261485096192664,0,0,annualised_1y
0.4,on,search,F7,2016,171,31.7816256081205,31.39221289199292,5.603713654702328,2.3508677908701148,2.4764324782443494,0,0,annualised_1y
0.4,on,search,F8,2017,190,50.67009153653261,49.925089915213164,7.130117963737577,2.348603026021845,2.155390497412128,0,0,annualised_1y
0.4,on,search,F9,2018,176,14.406475667230033,14.339747258269453,5.309860363050375,0.7991671756866214,2.1789769403699086,0,0,annualised_1y
0.4,on,search,F10,2019,195,34.41304848619353,33.69845202031554,8.200114461992843,1.253975192162493,2.3907438236864134,0,0,annualised_1y
0.4,on,search,F11,2020,188,38.92128812772317,37.976343231828366,6.16028801972272,4.012555718639376,3.3078082226567287,0,0,annualised_1y
0.4,on,holdout,2021,2021,212,38.29397976660831,37.63064926868347,5.889778458563442,1.0444262381964053,2.5204847204534704,0,0,annualised_1y
0.4,on,holdout,2022,2022,179,24.268565135225906,23.80740312727081,7.092654920161519,1.6748171440714832,2.2522979898560136,0,0,annualised_1y
0.4,on,holdout,2023,2023,189,27.016622312584147,26.59457344786005,6.640865890500155,0.9002350222665711,1.986422193459113,0,0,annualised_1y
0.4,on,holdout,2024,2024,191,42.478086943654006,42.21364735125277,5.57903051758121,2.6202488790019407,2.4476008393876167,0,0,annualised_1y
0.4,on,holdout,2025,2025,251,51.89572666097118,50.12424914759321,5.819743382708185,3.5305740518305373,3.215713091964243,0,0,annualised_1y
0.4,on,holdout,2026p,2026,71,2.700438236021796,2.700438236021796,4.7048344923239,0.6107000315008326,1.9850336844414527,0,0,raw_partial_4mo
0.5,off,search,F1,2010,201,31.222089003333544,28.079536582370057,9.934609193544688,3.748751922856397,5.002479944620672,0,0,annualised_1y
0.5,off,search,F2,2011,182,36.117952645877224,35.40163410602246,9.749419179192776,3.2314949564868467,4.410966356527785,0,0,annualised_1y
0.5,off,search,F3,2012,179,40.59189206143816,40.25352492272462,4.97588616608852,0.20796460765206692,2.07474607501235,0,0,annualised_1y
0.5,off,search,F4,2013,195,60.22848727672947,58.975331497719786,9.287196367672637,0.757272507539386,2.5731949113713055,0,0,annualised_1y
0.5,off,search,F5,2014,192,41.47084398983081,40.49998998050732,7.66443253033196,6.890515126883024,3.140714875827957,0,0,annualised_1y
0.5,off,search,F6,2015,190,28.064222736532397,27.724979819998175,7.020418214287176,5.832730870574576,3.7652483154131207,0,0,annualised_1y
0.5,off,search,F7,2016,171,40.83115503036432,40.315034557780564,6.971284478538359,2.9614437562644147,3.10611394103157,0,0,annualised_1y
0.5,off,search,F8,2017,190,66.2107013711061,65.19265575081437,8.855615195186301,2.9997407299763856,2.6591453148693387,0,0,annualised_1y
0.5,off,search,F9,2018,176,18.211433537254983,18.125731304797775,6.604643144337216,0.9985139952211175,2.707032802228272,0,0,annualised_1y
0.5,off,search,F10,2019,195,44.1748875669429,43.22728698246527,10.149657788894684,1.5674689902031136,2.975537801363669,0,0,annualised_1y
0.5,off,search,F11,2020,188,50.336823779516116,49.06961611419576,7.641754150245346,4.9994721182442525,4.129434485937142,0,0,annualised_1y
0.5,off,holdout,2021,2021,212,49.378206926837365,48.49182944747188,7.306873454829564,1.3055545070497776,3.1537495010478582,0,0,annualised_1y
0.5,off,holdout,2022,2022,179,30.96088676097044,30.357832467576152,8.774892699918219,2.100001090522874,2.8179123831680633,0,0,annualised_1y
0.5,off,holdout,2023,2023,189,34.458930773217176,33.905994320453516,8.219484213922627,1.1252937778332361,2.4713722343418456,0,0,annualised_1y
0.5,off,holdout,2024,2024,191,55.07140840750952,54.71481666435103,6.933949071787842,3.268859887386333,3.056742531109282,0,0,annualised_1y
0.5,off,holdout,2025,2025,251,67.88432331271612,65.46101779340263,7.218372665489424,4.401673671292993,3.9923187881879727,0,0,annualised_1y
0.5,off,holdout,2026p,2026,71,3.3497064683224664,3.3497064683224664,5.839098610627314,0.7633750393760574,2.4767728912087126,0,0,raw_partial_4mo
0.5,on,search,F1,2010,201,23.607445689755522,21.292371203725335,10.731980061732136,3.748751922856397,5.002479944620692,0,2,annualised_1y
0.5,on,search,F2,2011,182,36.117952645877224,35.40163410602246,9.749419179192776,3.2314949564868467,4.410966356527785,0,1,annualised_1y
0.5,on,search,F3,2012,179,40.59189206143816,40.25352492272462,4.97588616608852,0.20796460765206692,2.07474607501235,0,0,annualised_1y
0.5,on,search,F4,2013,195,60.22848727672947,58.975331497719786,9.287196367672637,0.757272507539386,2.5731949113713055,0,0,annualised_1y
0.5,on,search,F5,2014,192,41.47084398983081,40.49998998050732,7.66443253033196,6.890515126883024,3.140714875827957,0,0,annualised_1y
0.5,on,search,F6,2015,190,26.565494032157112,26.246156771774377,7.020418214287176,5.832730870574576,3.7652483154131207,0,1,annualised_1y
