cluster_label,size,size_fraction,centroid_monotonicity_ratio_in_profit,centroid_local_peaks_count,centroid_pullback_magnitude_median,centroid_time_to_peak_mfe_relative
0,392,0.1526479751,0.5487536422,24.14285714,0.4971620309,0.8163786845
1,430,0.1674454829,0.5778504568,2.506976744,0.04436621505,0.2399861138
2,663,0.2581775701,0.005857214681,0.3800904977,0.002850055223,0.09840708358
3,490,0.1908099688,0.5031110818,8.781632653,0.4783068425,0.3845496309
4,338,0.1316199377,0.5121278123,6.532544379,0.3617559877,0.7856462919
5,255,0.09929906542,0.5097575246,8.447058824,1.052947743,0.6567853945
