metric,value
unit_id,c1
n,228
sl_atr_mult,3
fwd_mfe_p5,0.5967820572
fwd_mfe_p10,0.9580948562
fwd_mfe_p25,1.766599494
fwd_mfe_p50,3.082843056
fwd_mfe_p75,4.982623468
fwd_mfe_p90,6.306198439
fwd_mfe_p95,7.525513196
fwd_mfe_p99,10.7747943
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,0.9062604203
final_r_p75,3.245536298
final_r_p90,5.057832581
final_r_p95,6.302676751
final_r_p99,9.352432246
fwd_mfe_mean,3.57393488
final_r_mean,1.504618136
hartigan_dip_stat,0.01852657975
hartigan_dip_pvalue,0.9017291526
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.4254385965
mass_final_r_le_0R_count,92
mass_final_r_le_0R_frac,0.4035087719
mass_final_r_0R_to_0.5R_count,10
mass_final_r_0R_to_0.5R_frac,0.04385964912
mass_final_r_0.5R_to_1R_count,16
mass_final_r_0.5R_to_1R_frac,0.0701754386
mass_final_r_1R_to_2R_count,19
mass_final_r_1R_to_2R_frac,0.08333333333
mass_final_r_2R_to_5R_count,67
mass_final_r_2R_to_5R_frac,0.2938596491
mass_final_r_gt_5R_count,24
mass_final_r_gt_5R_frac,0.1052631579
