label,t,n_total_at_t,n_pos_at_t,exclusion_rate,rf_auc_mean,rf_auc_folds,passes_d1_auc,passes_d1_exclusion,feature_set_size
cluster_0_individual,1,2124,365,0.01346957733,0.6257867133,"[0.6295921544209215, 0.5472057907845579, 0.6384262141967622, 0.6688200498132005, 0.6448893572181242]",1,1,23
cluster_0_individual,2,2042,365,0.05155596842,0.6449944504,"[0.6188030006523157, 0.6867253750815394, 0.5895317930893478, 0.6635861786955632, 0.6663259047229606]",1,1,23
cluster_0_individual,3,1963,365,0.08824895495,0.669674416,"[0.6838184931506849, 0.6866010273972603, 0.6632705479452055, 0.658478979688238, 0.6562030317344442]",1,1,23
cluster_0_individual,4,1852,365,0.1398049234,0.6497005543,"[0.5986944929668107, 0.6781741288958353, 0.691757760250911, 0.5926848392601818, 0.6871915502052488]",1,1,23
cluster_0_individual,5,1801,365,0.1634928007,0.6787541963,"[0.6589611872146118, 0.700348432055749, 0.6821631425707604, 0.6853133501980812, 0.6669848694573052]",1,1,23
cluster_0_individual,10,1450,365,0.3265211333,0.6922921533,"[0.6882772552237865, 0.7092355280600972, 0.6966731898238747, 0.6666245817814532, 0.7006502114765482]",1,0,23
