fold,reference_auc,rebuilt_auc,byte_identical
1,0.8483796296,0.8483796296,1
2,0.735745614,0.735745614,1
3,0.7172630377,0.7172630377,1
4,0.7144016227,0.7144016227,1
5,0.7380414807,0.7380414807,1
mean,0.750766277,0.750766277,1
