trade_id,pair,signal_time,entry_time,entry_price,initial_sl_price,exit_time,exit_price,exit_reason,bars_held,final_r,mfe_r,mae_r,time_to_peak_mfe,spread_pips_entry,spread_pips_exit,calendar_year
30,AUD_CAD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.95974,0.954071956,2021-03-24 21:00:00,0.954061956,stoploss,21,-1.001764277,0.01058566233,-1.003873644,0,0.4,0.2,2021
31,CHF_JPY,2021-03-24 00:00:00,2021-03-24 01:00:00,116.289,115.6818661,2021-03-31 02:00:00,117.1395,time_exit,120,1.40084429,1.518610741,-0.6275387119,109,0.2,0.7,2021
32,NZD_CAD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.881145,0.8744020714,2021-03-24 20:00:00,0.8743270714,stoploss,20,-1.011122764,0.02447007976,-1.147127679,0,1.5,1.5,2021
33,NZD_USD,2021-03-24 00:00:00,2021-03-24 01:00:00,0.70012,0.6937989765,2021-03-31 02:00:00,0.69829,time_exit,120,-0.289510078,0.5109931979,-0.9191549472,100,0.2,0.2,2021
34,NZD_CAD,2021-03-24 21:00:00,2021-03-24 22:00:00,0.876255,0.8705057625,2021-03-31 23:00:00,0.877455,time_exit,120,0.208723332,1.507156393,-0.3069972341,79,1.3,1.3,2021
35,AUD_CAD,2021-03-24 22:00:00,2021-03-24 23:00:00,0.95349,0.9485465476,2021-04-01 00:00:00,0.95375,time_exit,120,0.05259482243,2.188753764,-0.1881276341,78,3.8,2.4,2021
36,USD_CHF,2021-03-26 05:00:00,2021-03-26 06:00:00,0.939865,0.9363056455,2021-04-02 07:00:00,0.941685,time_exit,120,0.5113286664,2.080433393,-0.7964927304,101,0.1,0.3,2021
37,CHF_JPY,2021-03-31 03:00:00,2021-03-31 04:00:00,117.414,116.8616227,2021-04-07 04:00:00,117.881,time_exit,120,0.8454366727,1.062679501,-0.8671609555,113,0.2,0.2,2021
38,CAD_JPY,2021-04-22 00:00:00,2021-04-22 01:00:00,86.443,85.77509464,2021-04-29 01:00:00,88.127,time_exit,120,2.521315288,2.744400785,-0.6527870935,116,0.6,0.8,2021
39,EUR_CAD,2021-04-22 00:00:00,2021-04-22 01:00:00,1.504165,1.494607482,2021-04-28 15:00:00,1.494597482,stoploss,111,-1.001046297,0.6314400835,-1.010199504,43,0.9,0.2,2021
40,NZD_CAD,2021-04-23 00:00:00,2021-04-23 01:00:00,0.89499,0.8892333871,2021-04-29 17:00:00,0.8890633871,stoploss,113,-1.029531254,0.8338236558,-1.136084731,36,2.2,3.4,2021
41,EUR_CAD,2021-04-28 16:00:00,2021-04-28 17:00:00,1.49556,1.489370553,2021-04-29 16:00:00,1.489360553,stoploss,24,-1.001615653,0.2100349283,-1.150345146,0,0.2,0.2,2021
42,CAD_JPY,2021-04-29 02:00:00,2021-04-29 03:00:00,88.1915,87.73338949,2021-05-06 03:00:00,89.018,time_exit,120,1.804149848,2.151227677,-0.1276984466,55,0.3,0.2,2021
43,EUR_CAD,2021-04-29 17:00:00,2021-04-29 18:00:00,1.48901,1.481580603,2021-04-30 17:00:00,1.481570603,stoploss,24,-1.001346004,0.2167066958,-1.323122248,1,0.2,0.2,2021
44,AUD_CAD,2021-05-03 00:00:00,2021-05-03 01:00:00,0.94728,0.9417559502,2021-05-10 01:00:00,0.95146,time_exit,120,0.7566912299,1.243652811,-0.505064242,113,1,0.8,2021
