n,sl_mult,reach_1R,reach_2R,reach_3R,ww_pp,mfe_p25,mfe_p50,mfe_p75,mfe_p90,mean_r,p25_r,p50_r,p75_r,sl_fire_rate,capturability_composite,cluster_id
3418,1.5,0.604154476301931,0.29052077238150964,0.12551199531889995,0.39496781743709775,0.6619803573125612,1.2910282915074407,2.20362582731964,3.2418284654504905,-0.9973756628252726,-1.0,-1.0,-1.0,0.9985371562317145,0.5697432163130961,0
3418,2.0,0.4871269748390872,0.17261556465769456,0.04593329432416618,0.5111176126389702,0.49648526798442094,0.9682712186305806,1.65271937048973,2.431371349087868,-0.9908970915721015,-1.0,-1.0,-1.0,0.9961966062024575,0.45495515945541887,0
3418,2.5,0.3785839672322996,0.09245172615564658,0.012580456407255705,0.22381509654768872,0.3971882143875368,0.7746169749044645,1.3221754963917842,1.9450970792702944,-0.8660939166748843,-1.0,-0.8000000000000052,-0.7999999999999984,0.36688121708601523,0.513548679934142,0
3418,3.0,0.29052077238150964,0.04593329432416618,0.0032182562902282035,0.09771796372147455,0.3309901786562806,0.6455141457537203,1.10181291365982,1.6209142327252453,-0.7076041074689766,-0.6666666666666727,-0.6666666666666681,-0.6666666666666635,0.14101813926272674,0.5201553998475954,0
3418,3.5,0.22732592159157403,0.021942656524283205,0.0005851375073142189,0.049151550614394385,0.28370586741966913,0.5532978392174746,0.9444110688512743,1.3893550566216388,-0.5934358035598835,-0.5714285714285753,-0.5714285714285721,-0.5714285714285684,0.06348741954359274,0.5081562710053702,0
3418,4.0,0.17261556465769456,0.006436512580456407,0.0002925687536571094,0.028379169104739616,0.24824263399221047,0.4841356093152903,0.826359685244865,1.215685674543934,-0.5130026710054774,-0.5000000000000031,-0.5000000000000003,-0.4999999999999973,0.03510825043885313,0.4899702655088681,0
1628,1.5,0.028255528255528257,0.0012285012285012285,0.0,0.9711302211302212,0.07637695349576137,0.18196220692122536,0.36091378843573557,0.5814969457168148,-0.999324022311129,-1.0,-1.0,-1.0,0.9993857493857494,0.03498093664487119,1
1628,2.0,0.009828009828009828,0.0,0.0,0.9889434889434889,0.05728271512182104,0.13647165519091903,0.27068534132680167,0.43612270928761104,-0.9991698412375988,-1.0,-1.0,-1.0,0.9987714987714987,0.017451918699869624,1
1628,2.5,0.0036855036855036856,0.0,0.0,0.36855036855036855,0.04582617209745683,0.10917732415273523,0.21654827306144137,0.3488981674300889,-0.8734144970687031,-1.0,-0.8000000000000059,-0.799999999999998,0.3703931203931204,0.26133254233090303,1
1628,3.0,0.0012285012285012285,0.0,0.0,0.14434889434889434,0.03818847674788069,0.09098110346061268,0.18045689421786779,0.2907484728584074,-0.7142295256080305,-0.6666666666666732,-0.6666666666666676,-0.6666666666666632,0.14434889434889434,0.34881724964921695,1
1628,3.5,0.0,0.0,0.0,0.060810810810810814,0.03273298006961202,0.07798380296623944,0.15467733790102953,0.24921297673577772,-0.5970159710546896,-0.5714285714285756,-0.5714285714285717,-0.5714285714285682,0.060810810810810814,0.380874595873425,1
1628,4.0,0.0,0.0,0.0,0.029484029484029485,0.02864135756091052,0.06823582759545951,0.13534267066340083,0.21806135464380552,-0.5143269353608141,-0.5000000000000034,-0.5000000000000001,-0.4999999999999971,0.029484029484029485,0.3927554433794188,1
1566,1.5,1.0,0.9974457215836526,0.9706257982120051,0.0,5.484785886279082,7.550286960532341,10.757824093228354,14.91893215375216,2.621320834866809,-1.0,-1.0,5.586123896232461,0.5715197956577267,1.0,2
1566,2.0,1.0,0.9814814814814815,0.9054916985951469,0.0,4.1135894147093115,5.662715220399256,8.068368069921265,11.189199115314121,2.6886227935239795,-1.0,1.6487499947323503,5.133891436907282,0.4099616858237548,1.0,2
1566,2.5,1.0,0.9553001277139208,0.8026819923371648,0.0,3.2908715317674497,4.530172176319405,6.4546944559370125,8.951359292251297,2.1119454889698854,-0.8000000000000043,1.3189999957858802,4.1071131495258255,0.19476372924648785,1.0,2
1566,3.0,0.9974457215836526,0.9054916985951469,0.6839080459770115,0.0006385696040868455,2.742392943139541,3.7751434802661703,5.378912046614177,7.45946607687608,1.7611252850823973,-0.666666666666667,1.0991666631549002,3.422594291271521,0.09386973180076628,0.9987228607918264,2
1566,3.5,0.9891443167305236,0.8358876117496807,0.5587484035759898,0.0019157088122605363,2.350622522691035,3.2358372687995747,4.610496039955008,6.393828065893783,1.5128200308916442,-0.5714285714285711,0.9421428541327715,2.9336522496613036,0.05491698595146871,0.9948914431673053,2
1566,4.0,0.9814814814814815,0.7675606641123882,0.4521072796934866,0.002554278416347382,2.0567947073546557,2.831357610199628,4.034184034960632,5.594599557657061,1.3254735934414275,-0.4999999999999994,0.8243749973661751,2.566945718453641,0.037675606641123884,0.9803280552393622,2
