from,to,feature,imp_from,imp_to,rel_change
fold_1,fold_2,ema_50_above_200,0.010550396677804464,0.03365756342125733,2.1901704219391935
fold_3,fold_4,d1_close_above_ema_50,0.01237755654087045,0.01932879877433455,0.5616005235371967
