fold_id,pair,val_start,val_end,n_val,n_clean_move,clean_rate
3,GBP_CHF,2022-03-11,2022-12-02,1140,242,0.21228070175438596
3,GBP_JPY,2022-03-11,2022-12-02,1140,302,0.2649122807017544
3,GBP_NZD,2022-03-11,2022-12-02,1140,68,0.05964912280701754
3,GBP_USD,2022-03-11,2022-12-02,1140,201,0.1763157894736842
3,NZD_CAD,2022-03-11,2022-12-02,1140,330,0.2894736842105263
3,NZD_CHF,2022-03-11,2022-12-02,1140,256,0.22456140350877193
3,NZD_JPY,2022-03-11,2022-12-02,1140,398,0.34912280701754383
3,NZD_USD,2022-03-11,2022-12-02,1140,310,0.2719298245614035
3,USD_CAD,2022-03-11,2022-12-02,1140,199,0.17456140350877192
3,USD_CHF,2022-03-11,2022-12-02,1140,454,0.39824561403508774
3,USD_JPY,2022-03-11,2022-12-02,1140,443,0.38859649122807016
4,AUD_CAD,2022-12-02,2023-08-25,1140,273,0.2394736842105263
4,AUD_CHF,2022-12-02,2023-08-25,1140,126,0.11052631578947368
4,AUD_JPY,2022-12-02,2023-08-25,1140,161,0.1412280701754386
4,AUD_NZD,2022-12-02,2023-08-25,1140,190,0.16666666666666666
4,AUD_USD,2022-12-02,2023-08-25,1140,126,0.11052631578947368
4,CAD_CHF,2022-12-02,2023-08-25,1140,197,0.17280701754385966
4,CAD_JPY,2022-12-02,2023-08-25,1140,203,0.1780701754385965
4,CHF_JPY,2022-12-02,2023-08-25,1140,143,0.12543859649122807
4,EUR_AUD,2022-12-02,2023-08-25,1140,216,0.18947368421052632
4,EUR_CAD,2022-12-02,2023-08-25,1140,333,0.29210526315789476
4,EUR_CHF,2022-12-02,2023-08-25,1140,201,0.1763157894736842
4,EUR_GBP,2022-12-02,2023-08-25,1140,216,0.18947368421052632
4,EUR_JPY,2022-12-02,2023-08-25,1140,284,0.24912280701754386
4,EUR_NZD,2022-12-02,2023-08-25,1140,152,0.13333333333333333
4,EUR_USD,2022-12-02,2023-08-25,1140,295,0.25877192982456143
4,GBP_AUD,2022-12-02,2023-08-25,1140,138,0.12105263157894737
4,GBP_CAD,2022-12-02,2023-08-25,1140,302,0.2649122807017544
4,GBP_CHF,2022-12-02,2023-08-25,1140,196,0.17192982456140352
4,GBP_JPY,2022-12-02,2023-08-25,1140,187,0.16403508771929826
4,GBP_NZD,2022-12-02,2023-08-25,1140,186,0.1631578947368421
4,GBP_USD,2022-12-02,2023-08-25,1140,276,0.24210526315789474
4,NZD_CAD,2022-12-02,2023-08-25,1137,270,0.23746701846965698
4,NZD_CHF,2022-12-02,2023-08-25,1137,191,0.167985927880387
4,NZD_JPY,2022-12-02,2023-08-25,1139,236,0.20719929762949957
4,NZD_USD,2022-12-02,2023-08-25,1140,137,0.12017543859649123
4,USD_CAD,2022-12-02,2023-08-25,1140,302,0.2649122807017544
4,USD_CHF,2022-12-02,2023-08-25,1140,217,0.19035087719298247
4,USD_JPY,2022-12-02,2023-08-25,1140,247,0.21666666666666667
5,AUD_CAD,2023-08-25,2024-05-21,1139,28,0.024582967515364356
5,AUD_CHF,2023-08-25,2024-05-21,1140,223,0.1956140350877193
