archetype_id,selected_sl_atr,n,size_fraction,centroid_monotonicity_v2,centroid_local_peaks_v2,centroid_pullback,centroid_time_to_peak_rel,monotonicity_pre_peak_centroid,local_peaks_centroid,fwd_mfe_h240_p25,fwd_mfe_h240_p50,fwd_mfe_h240_p75,fwd_mfe_h240_p95,frac_reach_1R,frac_reach_2R,frac_wrong_way_pre_peak,frac_wrong_way_all_time,frac_peak_at_bar_0,frac_peak_after_bar_120,final_r_mean,final_r_t_stat,final_r_p25,final_r_p50,final_r_p75,shape_tag,shape_tag_v2_classifier,hartigan_dip_stat,hartigan_dip_p,mode_separation_r,min_mode_mass,kde_mode_1,kde_mode_2,pass_dip,pass_mode_mass,pass_separation,floor_monotonicity_pre_peak,floor_local_peaks,floor_fwd_mfe_p50,floor_frac_reach_1R,floor_frac_wrong_way_pre_peak,floor_shape_tag,floor_size_fraction,all_floors_pass,composite,peak_mfe_atr_median,verdict
cluster_2,1.5,380,0.147975,0.548908,24.4184,0.498472,0.815986,0.562276,27.3474,4.90062,7.09853,10.3518,16.6512,0.876316,0.842105,0.0157895,0.318421,0.0605263,0.581579,4.38259,16.3764,-1,3.87011,7.37814,bimodal_separated,scattered,0.0420331,5.09383e-05,5.84386,0.207895,1.05746,6.90132,True,True,True,True,True,True,True,True,True,True,True,0.472802,10.6478,PASS
cluster_4,2,327,0.127336,0.571616,7.78593,0.425996,0.787223,0.636201,9.24465,0.779648,1.33702,2.46496,5.42126,0.64526,0.348624,0.0366972,0.856269,0,0.125382,-0.354105,-3.69607,-1,-1,-1,unclassified,unclassified,0.0109104,0.995201,4.48138,0.168196,0.96483,5.44621,False,False,True,True,True,False,False,True,False,True,False,,2.67405,FAIL_NO_PASSING_SL
aggregate_stepwise_climber_2+4,2,707,0.275312,0.559411,16.7256,0.464951,0.802682,0.598276,21.761,1.46928,4.13897,6.38696,10.9493,0.835926,0.698727,0.0169731,0.472419,0,0.445545,2.10592,14.9182,-1,0.845609,4.57174,bimodal_separated,bimodal,0.0228665,0.0124435,3.46377,0.35785,1.28166,4.74543,True,True,True,True,True,True,True,True,True,True,True,0.467229,8.27794,PASS
